file,author1,author2,time1,time2
.compatibility,Guangyao Zhang,Hongxin Liu,2024-07-16 13:59:25+08:00,2024-07-16 13:59:25+08:00
.github/workflows/PR_CI.yml,Frank Lee,ver217,2022-02-15 11:31:13+08:00,2022-02-15 11:31:13+08:00
.github/workflows/PR_CI.yml,アマデウス,FrankLeeeee,2022-03-11 15:50:28+08:00,2022-03-11 15:50:28+08:00
.github/workflows/build.yml,FrankLeeeee,ver217,2022-03-11 15:50:28+08:00,2022-03-11 15:50:28+08:00
.github/workflows/build.yml,Frank Lee,ver217,2022-04-08 10:15:52+08:00,2022-04-08 16:52:36+08:00
.github/workflows/compatibility_test.yml,Frank Lee,ver217,2022-04-08 10:15:52+08:00,2022-04-08 16:52:36+08:00
.github/workflows/run_chatgpt_examples.yml,YeAnbang,Hongxin Liu,2025-02-18 09:43:36+08:00,2025-02-18 13:06:38+08:00
.github/workflows/scripts/build_colossalai_wheel.py,lucasliunju,Frank Lee,2022-07-14 10:41:01+08:00,2022-07-15 09:40:58+08:00
.pre-commit-config.yaml,アマデウス,Frank Lee,2022-02-15 11:31:13+08:00,2022-02-15 11:31:13+08:00
.pre-commit-config.yaml,1SAA,Jiarui Fang,2022-03-11 15:50:28+08:00,2022-03-11 15:50:28+08:00
.pre-commit-config.yaml,Jiarui Fang,jiaruifang,2022-03-11 15:50:28+08:00,2022-03-11 15:50:28+08:00
.pre-commit-config.yaml,jiaruifang,Jiarui Fang,2022-03-11 15:50:28+08:00,2022-03-11 15:50:28+08:00
.pre-commit-config.yaml,pre-commit-ci[bot],Edenzzzz,2024-08-15 14:40:03+08:00,2024-08-16 13:56:38+08:00
README-zh-Hans.md,binmakeswell,Sze-qq,2022-03-11 15:50:28+08:00,2022-03-11 15:50:28+08:00
README-zh-Hans.md,Sze-qq,binmakeswell,2022-03-11 15:50:28+08:00,2022-03-11 15:50:28+08:00
README-zh-Hans.md,binmakeswell,Xue Fuzhao,2022-03-11 15:50:28+08:00,2022-03-11 15:50:28+08:00
README-zh-Hans.md,Xue Fuzhao,binmakeswell,2022-03-11 15:50:28+08:00,2022-03-11 15:50:28+08:00
README-zh-Hans.md,Jiarui Fang,binmakeswell,2022-10-18 13:38:41+08:00,2022-10-19 00:25:56+08:00
README-zh-Hans.md,binmakeswell,Sze-qq,2023-01-03 21:05:54+08:00,2023-01-04 15:41:53+08:00
README-zh-Hans.md,Sze-qq,binmakeswell,2023-01-04 15:41:53+08:00,2023-01-04 19:38:06+08:00
README-zh-Hans.md,Frank Lee,binmakeswell,2023-02-08 14:39:36+08:00,2023-02-08 17:28:29+08:00
README-zh-Hans.md,binmakeswell,github-actions[bot],2023-02-28 15:39:51+08:00,2023-02-28 15:41:52+08:00
README.md,zbian,アマデウス,2021-10-28 18:21:23+02:00,2021-10-29 00:39:21+08:00
README.md,アマデウス,ver217,2021-10-29 00:39:21+08:00,2021-10-29 09:29:20+08:00
