file,author1,author2,time1,time2
.github/workflows/test-ui.yaml,pythongosssss,comfyanonymous,2023-10-20 22:49:04-04:00,2023-10-20 22:52:12-04:00
.github/workflows/windows_release_nightly_pytorch.yml,YAN Wenkun,comfyanonymous,2024-07-01 17:15:49-04:00,2024-07-01 17:17:25-04:00
.gitignore,Joe Colburn,comfyanonymous,2023-03-20 00:04:20-04:00,2023-03-20 00:33:37-04:00
.gitignore,Dr.Lt.Data,comfyanonymous,2023-07-11 02:33:21-04:00,2023-07-11 03:00:52-04:00
.gitignore,Peter Crabtree,comfyanonymous,2024-06-01 12:36:08-04:00,2024-06-01 12:47:31-04:00
README.md,Jairo Correa,comfyanonymous,2023-03-29 05:04:06-03:00,2023-03-29 13:41:10-04:00
README.md,Karun,comfyanonymous,2023-04-16 01:25:11-04:00,2023-04-17 01:04:54-04:00
README.md,space-nuko,comfyanonymous,2023-06-05 19:16:51-05:00,2023-06-06 02:13:05-04:00
README.md,reaper47,comfyanonymous,2023-06-07 15:15:38+02:00,2023-06-08 02:00:44-04:00
README.md,comfyanonymous,space-nuko,2023-06-08 02:00:44-04:00,2023-06-08 12:12:07-05:00
README.md,Jorge Campo,comfyanonymous,2023-06-09 22:25:33+02:00,2023-06-10 03:23:01-04:00
README.md,Vladislav,comfyanonymous,2023-06-22 22:23:47+06:00,2023-06-22 19:33:48-04:00
README.md,comfyanonymous,Garrett Sutula,2024-04-30 20:11:34-04:00,2024-04-30 20:17:02-04:00
README.md,comfyanonymous,Robin Huang,2024-07-25 19:06:43-04:00,2024-07-26 14:37:40-04:00
README.md,Qiacheng Li,comfyanonymous,2024-12-20 18:04:03-05:00,2024-12-21 11:31:39-05:00
README.md,Robin Huang,filtered,2025-02-20 18:26:16-05:00,2025-02-21 05:58:12-05:00
README.md,BiologicalExplosion,comfyanonymous,2025-02-26 20:45:13-05:00,2025-02-26 20:47:08-05:00
app/custom_node_manager.py,Zoltán Dócs,comfyanonymous,2024-12-28 05:30:04-05:00,2024-12-28 05:33:17-05:00
app/frontend_management.py,Chenlei Hu,comfyanonymous,2024-07-16 11:26:11-04:00,2024-07-16 11:29:38-04:00
app/frontend_management.py,comfyanonymous,Chenlei Hu,2024-07-16 11:29:38-04:00,2024-07-16 18:20:39-04:00
app/frontend_management.py,Chenlei Hu,comfyanonymous,2025-03-02 14:18:33-05:00,2025-03-02 15:43:56-05:00
app/frontend_management.py,comfyanonymous,Dr.Lt.Data,2025-03-02 15:43:56-05:00,2025-03-03 04:40:23-05:00
app/frontend_management.py,Dr.Lt.Data,comfyanonymous,2025-03-04 23:29:34-05:00,2025-03-04 23:34:36-05:00
app/frontend_management.py,Chenlei Hu,huchenlei,2025-03-10 15:14:40-04:00,2025-03-10 20:43:59-04:00
app/user_manager.py,pythongosssss,comfyanonymous,2024-01-08 17:06:44-05:00,2024-01-08 17:08:00-05:00
app/user_manager.py,Robin Huang,Chenlei Hu,2024-09-12 08:10:27-04:00,2024-09-13 02:40:59-04:00
comfy/cldm/control_types.py,Chenlei Hu,comfyanonymous,2024-07-22 11:27:32-04:00,2024-07-22 11:30:38-04:00
comfy/cli_args.py,EllangoK,comfyanonymous,2023-04-06 15:06:22-04:00,2023-04-06 15:24:55-04:00
comfy/cli_args.py,comfyanonymous,EllangoK,2023-04-06 15:24:55-04:00,2023-04-06 19:06:39-04:00
comfy/cli_args.py,EllangoK,comfyanonymous,2023-04-06 19:06:39-04:00,2023-04-07 00:27:54-04:00
comfy/cli_args.py,space-nuko,comfyanonymous,2023-06-05 18:59:10-05:00,2023-06-06 02:13:05-04:00
comfy/cli_args.py,Chenlei Hu,Thomas Ward,2024-07-16 11:26:11-04:00,2024-07-16 18:27:09-04:00
comfy/cli_args.py,comfyanonymous,Chenlei Hu,2025-02-28 02:48:20-05:00,2025-03-01 02:37:35-05:00
comfy/cli_args.py,Chenlei Hu,comfyanonymous,2025-03-01 02:37:35-05:00,2025-03-01 02:43:49-05:00
comfy/clip_model.py,HishamC,comfyanonymous,2025-02-11 17:11:32-05:00,2025-02-11 17:17:03-05:00
comfy/clip_vision.py,comfyanonymous,喵哩个咪,2024-07-17 13:05:38-04:00,2024-07-17 13:12:50-04:00
comfy/comfy_types/node_typing.py,Chenlei Hu,JettHu,2025-03-05 15:35:26-05:00,2025-03-06 15:24:04-05:00
comfy/conds.py,comfyanonymous,Chenlei Hu,2025-01-22 17:04:30-05:00,2025-01-23 05:54:09-05:00
comfy/controlnet.py,来新璐,comfyanonymous,2024-08-09 02:59:24-04:00,2024-08-09 02:59:34-04:00
comfy/controlnet.py,comfyanonymous,TTPlanetPig,2024-08-09 12:08:58-04:00,2024-08-09 13:40:05-04:00
comfy/controlnet.py,TTPlanetPig,comfyanonymous,2024-08-09 13:40:05-04:00,2024-08-09 21:45:21-04:00
comfy/diffusers_convert.py,sALTaccount,comfyanonymous,2023-04-05 23:57:31-07:00,2023-04-07 01:30:33-04:00
comfy/k_diffusion/sampling.py,FizzleDorf,comfyanonymous,2023-08-13 22:29:04-04:00,2023-08-14 00:28:50-04:00
comfy/k_diffusion/sampling.py,Ashen,comfyanonymous,2024-08-18 00:33:30-04:00,2024-08-18 00:47:25-04:00
comfy/k_diffusion/sampling.py,yoinked,comfyanonymous,2024-09-11 02:49:44-04:00,2024-09-11 02:51:36-04:00
comfy/latent_formats.py,comfyanonymous,Dr.Lt.Data,2024-06-15 12:14:56-04:00,2024-06-16 02:03:53-04:00
comfy/ldm/flux/layers.py,Raphael Walker,comfyanonymous,2024-12-16 18:21:17-05:00,2024-12-16 19:35:40-05:00
comfy/ldm/flux/model.py,Xrvk,comfyanonymous,2024-08-17 22:58:23-04:00,2024-08-17 23:00:44-04:00
comfy/ldm/hydit/controlnet.py,来新璐,comfyanonymous,2024-08-09 02:59:24-04:00,2024-08-09 02:59:34-04:00
comfy/ldm/lightricks/model.py,Michael Kupchick,comfyanonymous,2024-12-06 05:46:08-05:00,2024-12-06 05:49:15-05:00
comfy/ldm/modules/attention.py,Raphael Walker,comfyanonymous,2024-12-16 18:21:17-05:00,2024-12-16 18:22:50-05:00
comfy/ldm/modules/diffusionmodules/mmdit.py,comfyanonymous,Dango233,2024-06-10 14:06:23-04:00,2024-06-11 06:30:25-04:00
comfy/ldm/pixart/blocks.py,City,comfyanonymous,2024-12-20 15:25:00-05:00,2024-12-20 17:10:52-05:00
comfy/ldm/pixart/blocks.py,zhangp365,comfyanonymous,2024-12-22 23:44:20-05:00,2024-12-22 23:51:14-05:00
comfy/ldm/pixart/pixart.py,City,comfyanonymous,2024-12-20 15:25:00-05:00,2024-12-20 17:10:52-05:00
comfy/ldm/pixart/pixartms.py,City,comfyanonymous,2024-12-20 15:25:00-05:00,2024-12-20 17:10:52-05:00
comfy/model_base.py,Raphael Walker,comfyanonymous,2024-12-16 18:21:17-05:00,2024-12-16 19:35:40-05:00
comfy/model_base.py,City,Chenlei Hu,2024-12-20 15:25:00-05:00,2024-12-20 16:24:55-05:00
comfy/model_base.py,Chenlei Hu,comfyanonymous,2024-12-20 16:24:55-05:00,2024-12-20 17:10:52-05:00
comfy/model_detection.py,Jukka Seppänen,maedtb,2025-02-18 17:06:54-05:00,2025-02-19 07:14:45-05:00
comfy/model_management.py,Yurii Mazurevich,comfyanonymous,2023-03-24 19:39:55+02:00,2023-03-24 14:33:16-04:00
comfy/model_management.py,comfyanonymous,藍+85CD,2023-04-04 22:22:02-04:00,2023-04-05 21:22:14+08:00
comfy/model_management.py,藍+85CD,EllangoK,2023-04-05 21:22:14+08:00,2023-04-05 23:41:23-04:00
comfy/model_management.py,EllangoK,藍+85CD,2023-04-05 23:41:23-04:00,2023-04-06 12:27:22+08:00
comfy/model_management.py,藍+85CD,comfyanonymous,2023-04-06 15:44:05+08:00,2023-04-06 23:53:54-04:00
comfy/model_management.py,comfyanonymous,space-nuko,2023-06-01 04:04:35-04:00,2023-06-01 23:26:23-05:00
comfy/model_management.py,space-nuko,comfyanonymous,2023-06-02 00:14:41-05:00,2023-06-02 15:21:33-04:00
comfy/model_management.py,comfyanonymous,Simon Lui,2023-08-20 04:00:53-04:00,2023-08-20 14:19:51-04:00
comfy/model_management.py,Simon Lui,comfyanonymous,2023-08-20 14:19:53-04:00,2023-08-20 14:56:47-04:00
comfy/model_management.py,comfyanonymous,Simon Lui,2024-05-12 06:13:45-04:00,2024-05-12 06:36:30-04:00
comfy/model_management.py,comfyanonymous,David,2024-08-21 23:23:50-04:00,2024-08-22 13:24:21-04:00
comfy/model_management.py,David,comfyanonymous,2024-08-22 13:24:21-04:00,2024-08-22 15:58:20-04:00
comfy/model_management.py,comfyanonymous,Simon Lui,2024-08-22 17:05:12-04:00,2024-08-23 03:59:57-04:00
comfy/model_management.py,Simon Lui,comfyanonymous,2024-08-23 03:59:57-04:00,2024-08-23 04:04:55-04:00
comfy/model_management.py,comfyanonymous,Jonathan Avila,2024-10-09 19:43:17-04:00,2024-10-09 22:21:41-04:00
comfy/model_management.py,comfyanonymous,Chenlei Hu,2024-12-12 06:00:31-05:00,2024-12-12 17:59:16-05:00
comfy/model_management.py,comfyanonymous,Simon Lui,2024-12-23 01:51:08-05:00,2024-12-23 03:18:32-05:00
comfy/model_management.py,Simon Lui,comfyanonymous,2024-12-23 03:18:32-05:00,2024-12-23 03:22:48-05:00
comfy/model_management.py,Huazhong Ji,comfyanonymous,2024-12-26 19:36:50-05:00,2024-12-26 20:05:54-05:00
comfy/model_management.py,comfyanonymous,HishamC,2025-02-11 08:33:09-05:00,2025-02-11 17:11:32-05:00
comfy/model_management.py,HishamC,zhoufan2956,2025-02-11 17:11:32-05:00,2025-02-12 06:48:11-05:00
comfy/model_management.py,zhoufan2956,comfyanonymous,2025-02-12 06:48:11-05:00,2025-02-12 06:49:16-05:00
comfy/model_management.py,BiologicalExplosion,comfyanonymous,2025-02-26 20:45:13-05:00,2025-02-27 16:39:57-05:00
comfy/model_management.py,comfyanonymous,Chenlei Hu,2025-02-28 02:48:20-05:00,2025-03-01 02:37:35-05:00
comfy/model_management.py,comfyanonymous,FeepingCreature,2025-03-13 15:03:18-04:00,2025-03-14 03:22:41-04:00
comfy/model_patcher.py,comfyanonymous,kk-89,2024-04-05 00:22:44-04:00,2024-04-05 12:02:13-04:00
