file,author1,author2,time1,time2
README.md,Raymond,Kenneth Estanislao,2024-08-09 18:09:46+03:00,2024-08-10 14:19:20+08:00
README.md,Kenneth Estanislao,Saharsha-N,2024-08-10 14:19:20+08:00,2024-08-10 09:55:36-04:00
README.md,Saharsha-N,Kenneth Estanislao,2024-08-10 09:55:36-04:00,2024-08-11 16:35:38+08:00
README.md,Viet Nguyen,Kenneth Estanislao,2024-08-15 02:36:01+07:00,2024-08-15 14:21:58+08:00
README.md,Kenneth Estanislao,Aleksandr Spiridonov,2024-08-16 13:47:12+08:00,2024-08-16 20:28:57+08:00
README.md,Aleksandr Spiridonov,Kenneth Estanislao,2024-08-16 20:28:57+08:00,2024-08-16 21:03:14+08:00
README.md,Kenneth Estanislao,Vic P.,2024-08-23 01:56:13+08:00,2024-08-24 00:45:14+07:00
README.md,David Girón,underlines,2024-08-30 16:21:57+02:00,2024-08-30 23:49:14+02:00
README.md,underlines,Vic P.,2024-08-30 23:49:14+02:00,2024-09-01 00:47:45+07:00
README.md,pereiraroland26,Kenneth Estanislao,2024-09-10 14:28:33+05:30,2024-09-11 00:05:06+08:00
README.md,Kenneth Estanislao,Anant Singh,2024-09-11 00:05:06+08:00,2024-09-11 10:37:11+05:30
README.md,Vic P.,Kenneth Estanislao,2024-09-15 14:57:31+07:00,2024-09-15 19:15:02+08:00
README.md,KRSHH,Kenneth Estanislao,2024-09-16 18:32:29+05:30,2024-09-16 22:18:53+08:00
README.md,Kenneth Estanislao,KRSHH,2024-09-16 22:18:53+08:00,2024-09-16 20:38:56+05:30
README.md,KRSHH,Kenneth Estanislao,2024-09-16 20:47:02+05:30,2024-09-16 23:32:39+08:00
README.md,Kenneth Estanislao,KRSHH,2024-09-17 20:27:27+08:00,2024-09-17 18:24:43+05:30
README.md,Kenneth Estanislao,KRSHH,2024-10-20 22:46:38+08:00,2024-10-20 22:37:30+05:30
README.md,KRSHH,Kenneth Estanislao,2024-10-20 22:37:30+05:30,2024-10-21 16:14:39+08:00
README.md,Kenneth Estanislao,KRSHH,2024-10-21 16:14:39+08:00,2024-10-21 18:50:07+05:30
README.md,KRSHH,Kenneth Estanislao,2024-10-25 22:47:53+05:30,2024-10-26 14:31:24+08:00
README.md,Kenneth Estanislao,KRSHH,2025-01-06 00:26:55+08:00,2025-01-05 23:02:41+05:30
README.md,KRSHH,qitian,2025-01-06 23:53:18+05:30,2025-01-07 13:46:17+08:00
README.md,qitian,Kenneth Estanislao,2025-01-07 13:46:17+08:00,2025-01-07 13:48:42+08:00
README.md,KRSHH,Kenneth Estanislao,2025-01-14 00:30:07+05:30,2025-01-14 03:32:43+08:00
README.md,Kenneth Estanislao,KRSHH,2025-01-14 03:32:43+08:00,2025-01-15 00:33:02+05:30
README.md,KRSHH,Kenneth Estanislao,2025-01-18 19:59:02+05:30,2025-01-18 22:33:30+08:00
avgpcperformancedemo.gif,KRSHH,Kenneth Estanislao,2024-09-16 18:31:18+05:30,2024-09-16 22:18:53+08:00
avgpcperformancedemo.gif,Kenneth Estanislao,KRSHH,2024-09-16 23:34:35+08:00,2024-09-16 21:48:13+05:30
media/mouth.gif,KRSHH,Kenneth Estanislao,2024-10-25 22:47:53+05:30,2024-10-26 14:32:16+08:00
modules/cluster_analysis.py,james,pereiraroland26@gmail.com,2024-09-10 04:37:58+05:30,2024-09-10 05:40:55+05:30
modules/core.py,Gianfranco Palumbo,Kenneth Estanislao,2024-08-14 17:52:42+02:00,2024-08-15 14:21:58+08:00
modules/core.py,Kenneth Estanislao,Aleksandr Spiridonov,2024-08-16 13:47:12+08:00,2024-08-16 20:28:57+08:00
modules/core.py,Aleksandr Spiridonov,Kenneth Estanislao,2024-08-16 20:28:57+08:00,2024-08-16 21:03:14+08:00
modules/core.py,james,pereiraroland26@gmail.com,2024-09-10 04:37:58+05:30,2024-09-10 05:40:55+05:30
modules/core.py,pereiraroland26@gmail.com,pereiraroland26,2024-09-10 05:40:55+05:30,2024-09-10 14:28:33+05:30
modules/face_analyser.py,james,pereiraroland26@gmail.com,2024-09-10 04:37:58+05:30,2024-09-10 05:40:55+05:30
modules/globals.py,Kenneth Estanislao,Aleksandr Spiridonov,2024-08-16 13:47:12+08:00,2024-08-16 20:28:57+08:00
modules/globals.py,Aleksandr Spiridonov,Kenneth Estanislao,2024-08-16 20:28:57+08:00,2024-08-16 21:03:14+08:00
modules/globals.py,james,pereiraroland26@gmail.com,2024-09-10 04:37:58+05:30,2024-09-10 05:40:55+05:30
modules/globals.py,pereiraroland26@gmail.com,pereiraroland26,2024-09-10 05:40:55+05:30,2024-09-10 14:28:33+05:30
modules/globals.py,KRSHH,Kenneth Estanislao,2024-10-02 13:24:23+05:30,2024-10-03 14:51:38+08:00
modules/metadata.py,KRSHH,Kenneth Estanislao,2024-12-18 22:45:58+05:30,2024-12-19 13:08:25+08:00
modules/processors/frame/face_enhancer.py,Kenneth Estanislao,Pedro Santos,2024-12-23 12:45:53+08:00,2024-12-23 06:08:45+00:00
modules/processors/frame/face_swapper.py,james,pereiraroland26@gmail.com,2024-09-10 04:37:58+05:30,2024-09-10 05:40:55+05:30
modules/ui.json,K,Kenneth Estanislao,2024-09-16 01:00:03+05:30,2024-09-16 22:18:59+08:00
modules/ui.py,Dmitry Samoylenko,Kenneth Estanislao,2024-08-09 19:58:56+03:00,2024-08-10 13:54:12+08:00
modules/ui.py,Gianfranco Palumbo,Kenneth Estanislao,2024-08-14 17:52:42+02:00,2024-08-15 03:03:57+08:00
modules/ui.py,Kenneth Estanislao,Aleksandr Spiridonov,2024-08-16 13:47:12+08:00,2024-08-16 20:28:57+08:00
modules/ui.py,Aleksandr Spiridonov,Kenneth Estanislao,2024-08-16 20:28:57+08:00,2024-08-16 20:29:55+08:00
modules/ui.py,james,pereiraroland26@gmail.com,2024-09-10 04:37:58+05:30,2024-09-10 05:40:55+05:30
modules/ui.py,pereiraroland26@gmail.com,Kenneth Estanislao,2024-09-10 05:40:55+05:30,2024-09-10 14:59:05+08:00
modules/ui.py,Kenneth Estanislao,pereiraroland26,2024-09-10 14:59:05+08:00,2024-09-10 14:28:33+05:30
modules/ui.py,pereiraroland26,Roland Pereira,2024-09-10 14:28:33+05:30,2024-09-10 18:53:25+05:30
modules/ui.py,Roland Pereira,Kenneth Estanislao,2024-09-10 18:53:25+05:30,2024-09-11 00:02:45+08:00
modules/ui.py,CH. Krish,K,2024-09-15 23:00:28+05:30,2024-09-16 00:37:34+05:30
modules/ui.py,K,KRSHH,2024-09-16 13:31:20+05:30,2024-09-16 16:54:49+05:30
modules/ui.py,KRSHH,Kenneth Estanislao,2024-09-16 19:13:54+05:30,2024-09-16 22:18:53+08:00
modules/ui.py,Kenneth Estanislao,unknown,2024-09-16 22:18:59+08:00,2024-09-16 20:24:04+05:30
modules/ui.py,unknown,KRSHH,2024-09-16 20:24:04+05:30,2024-09-16 20:36:28+05:30
modules/ui.py,KRSHH,Kenneth Estanislao,2024-09-16 20:36:28+05:30,2024-09-16 23:30:12+08:00
modules/ui.py,Kenneth Estanislao,KRSHH,2024-09-16 23:34:35+08:00,2024-09-16 21:58:24+05:30
modules/ui.py,KRSHH,Kenneth Estanislao,2024-10-02 14:37:19+05:30,2024-10-03 14:51:38+08:00
modules/ui.py,Kenneth Estanislao,KRSHH,2024-10-04 15:39:08+08:00,2024-10-04 18:17:22+05:30
modules/ui.py,KRSHH,theogbob,2024-10-26 17:54:45+05:30,2024-10-26 14:40:03-04:00
modules/ui.py,Makaru,Kenneth Estanislao,2025-01-06 00:10:53+08:00,2025-01-06 14:14:04+08:00
modules/ui.py,Kenneth Estanislao,Makaru,2025-01-06 14:14:21+08:00,2025-01-07 01:15:05+08:00
modules/ui.py,Makaru,qitian,2025-01-07 01:15:05+08:00,2025-01-07 13:46:17+08:00
requirements.txt,CH. Krish,K,2024-09-15 23:02:25+05:30,2024-09-16 00:33:49+05:30
requirements.txt,K,Kenneth Estanislao,2024-09-16 00:33:49+05:30,2024-09-16 22:18:59+08:00
requirements.txt,bkosowski,Kenneth Estanislao,2024-09-18 15:58:50+02:00,2024-09-19 00:38:41+08:00
requirements.txt,Makaru,KRSHH,2025-01-03 20:42:38+08:00,2025-01-03 19:21:39+05:30
requirements.txt,carpusherw,Kenneth Estanislao,2025-02-05 09:17:11+08:00,2025-02-05 12:08:10+08:00
requirements.txt,Kenneth Estanislao,carpusherw,2025-02-05 12:08:19+08:00,2025-02-05 12:16:08+08:00
requirements.txt,carpusherw,Kenneth Estanislao,2025-02-05 12:16:08+08:00,2025-02-06 00:43:20+08:00
setup_deep_live_cam.bat,Thepathakarpit,Kenneth Estanislao,2024-08-09 21:46:58+05:30,2024-08-10 00:33:48+08:00
