file,author1,author2,time1,time2
.gitignore,Blaise,Ftps,2024-01-16 17:01:27+01:00,2024-01-17 12:35:38+09:00
GPT_SoVITS/AR/data/bucket_sampler.py,RVC-Boss,Blaise,2024-01-16 17:38:48+08:00,2024-01-16 17:14:18+01:00
GPT_SoVITS/AR/data/data_module.py,RVC-Boss,Blaise,2024-01-16 17:38:48+08:00,2024-01-16 17:14:18+01:00
GPT_SoVITS/AR/data/dataset.py,RVC-Boss,Blaise,2024-01-16 17:38:48+08:00,2024-01-16 17:14:18+01:00
GPT_SoVITS/AR/data/dataset.py,Blaise,spicysama,2024-01-16 17:14:18+01:00,2024-01-17 19:43:32+08:00
GPT_SoVITS/AR/models/t2s_lightning_module.py,RVC-Boss,Blaise,2024-01-16 17:38:48+08:00,2024-01-16 17:14:18+01:00
GPT_SoVITS/AR/models/t2s_model.py,RVC-Boss,Blaise,2024-01-16 17:38:48+08:00,2024-01-16 17:14:18+01:00
GPT_SoVITS/AR/models/t2s_model.py,RVC-Boss,XXXXRT666,2024-07-07 21:34:28+08:00,2024-07-08 20:51:15+08:00
GPT_SoVITS/AR/models/t2s_model.py,XXXXRT666,RVC-Boss,2024-07-08 20:51:15+08:00,2024-07-08 20:52:19+08:00
GPT_SoVITS/AR/models/utils.py,RVC-Boss,Blaise,2024-01-16 17:38:48+08:00,2024-01-16 17:14:18+01:00
GPT_SoVITS/AR/modules/activation.py,RVC-Boss,Blaise,2024-01-16 17:38:48+08:00,2024-01-16 17:14:18+01:00
GPT_SoVITS/AR/modules/embedding.py,RVC-Boss,Blaise,2024-01-16 17:38:48+08:00,2024-01-16 17:14:18+01:00
GPT_SoVITS/AR/modules/lr_schedulers.py,RVC-Boss,Blaise,2024-01-16 17:38:48+08:00,2024-01-16 17:14:18+01:00
GPT_SoVITS/AR/modules/patched_mha_with_cache.py,RVC-Boss,Blaise,2024-01-16 17:38:48+08:00,2024-01-16 17:14:18+01:00
GPT_SoVITS/AR/modules/scaling.py,RVC-Boss,Blaise,2024-01-16 17:38:48+08:00,2024-01-16 17:14:18+01:00
GPT_SoVITS/AR/modules/transformer.py,RVC-Boss,Blaise,2024-01-16 17:38:48+08:00,2024-01-16 17:14:18+01:00
GPT_SoVITS/AR/text_processing/phonemizer.py,RVC-Boss,Blaise,2024-01-16 17:38:48+08:00,2024-01-16 17:14:18+01:00
GPT_SoVITS/AR/text_processing/symbols.py,RVC-Boss,Blaise,2024-01-16 17:38:48+08:00,2024-01-16 17:14:18+01:00
GPT_SoVITS/AR/utils/io.py,RVC-Boss,Blaise,2024-01-16 17:38:48+08:00,2024-01-16 17:14:18+01:00
GPT_SoVITS/TTS_infer_pack/TTS.py,ChasonJiang,XXXXRT666,2024-08-23 17:43:40+08:00,2024-08-23 17:47:27+08:00
GPT_SoVITS/configs/s1.yaml,RVC-Boss,Blaise,2024-01-16 17:38:48+08:00,2024-01-16 17:14:18+01:00
GPT_SoVITS/configs/s1big.yaml,RVC-Boss,Blaise,2024-01-16 17:38:48+08:00,2024-01-16 17:14:18+01:00
GPT_SoVITS/configs/s1big2.yaml,RVC-Boss,Blaise,2024-01-16 17:38:48+08:00,2024-01-16 17:14:18+01:00
GPT_SoVITS/configs/s1longer.yaml,RVC-Boss,Blaise,2024-01-16 17:38:48+08:00,2024-01-16 17:14:18+01:00
GPT_SoVITS/configs/s1mq.yaml,RVC-Boss,Blaise,2024-01-16 17:38:48+08:00,2024-01-16 17:14:18+01:00
GPT_SoVITS/configs/train.yaml,RVC-Boss,Blaise,2024-01-16 17:38:48+08:00,2024-01-16 17:14:18+01:00
GPT_SoVITS/feature_extractor/cnhubert.py,RVC-Boss,Blaise,2024-01-16 17:38:48+08:00,2024-01-16 17:14:18+01:00
GPT_SoVITS/feature_extractor/cnhubert.py,KamioRinn,XXXXRT666,2024-08-06 18:26:58+08:00,2024-08-06 18:37:55+08:00
GPT_SoVITS/feature_extractor/whisper_enc.py,RVC-Boss,Blaise,2024-01-16 17:38:48+08:00,2024-01-16 17:14:18+01:00
GPT_SoVITS/inference_webui.py,RVC-Boss,Blaise,2024-01-16 17:38:48+08:00,2024-01-16 17:10:27+01:00
GPT_SoVITS/inference_webui.py,Blaise,spicysama,2024-01-16 17:10:27+01:00,2024-01-17 02:55:54+08:00
GPT_SoVITS/inference_webui.py,RVC-Boss,DW,2024-01-21 23:02:33+08:00,2024-01-22 11:04:35+11:00
GPT_SoVITS/inference_webui.py,DW,RVC-Boss,2024-01-22 11:21:15+11:00,2024-01-22 11:19:42+08:00
GPT_SoVITS/inference_webui.py,RVC-Boss,zxgov,2024-01-22 11:19:42+08:00,2024-01-22 12:59:27+08:00
GPT_SoVITS/inference_webui.py,RVC-Boss,Wu Zichen,2024-01-23 23:33:48+08:00,2024-01-24 17:27:58+08:00
GPT_SoVITS/inference_webui.py,Wu Zichen,RVC-Boss,2024-01-24 19:37:47+08:00,2024-01-25 00:30:39+08:00
GPT_SoVITS/inference_webui.py,Lei Hao,KakaruHayate,2024-01-26 10:34:22+08:00,2024-01-26 10:35:13+08:00
GPT_SoVITS/inference_webui.py,KakaruHayate,刘悦,2024-01-26 12:23:40+08:00,2024-01-26 14:09:50+08:00
GPT_SoVITS/inference_webui.py,刘悦,RVC-Boss,2024-01-26 15:42:49+08:00,2024-01-26 17:54:21+08:00
GPT_SoVITS/inference_webui.py,RVC-Boss,Erythrocyte3803,2024-01-26 22:56:32+08:00,2024-01-27 13:20:21+09:00
GPT_SoVITS/inference_webui.py,RVC-Boss,KakaruHayate,2024-01-30 14:56:47+08:00,2024-01-30 22:37:59+08:00
GPT_SoVITS/inference_webui.py,RVC-Boss,KakaruHayate,2024-02-03 00:48:00+08:00,2024-02-03 15:41:30+08:00
GPT_SoVITS/inference_webui.py,KakaruHayate,RVC-Boss,2024-02-03 15:41:30+08:00,2024-02-03 21:04:51+08:00
GPT_SoVITS/inference_webui.py,RVC-Boss,qieqieplus,2024-02-06 00:20:24+08:00,2024-02-06 17:05:39+08:00
GPT_SoVITS/inference_webui.py,qieqieplus,RVC-Boss,2024-02-06 17:05:39+08:00,2024-02-07 00:24:37+08:00
GPT_SoVITS/inference_webui.py,RVC-Boss,ling,2024-02-07 15:11:34+08:00,2024-02-07 15:44:55+08:00
GPT_SoVITS/inference_webui.py,KamioRinn,liufenghua,2024-02-11 03:54:39+08:00,2024-02-11 15:06:01+08:00
GPT_SoVITS/inference_webui.py,Watchtower-Liu,RVC-Boss,2024-02-16 17:47:54+08:00,2024-02-16 23:44:36+08:00
GPT_SoVITS/inference_webui.py,RVC-Boss,KamioRinn,2024-02-16 23:44:36+08:00,2024-02-17 16:04:06+08:00
GPT_SoVITS/inference_webui.py,KamioRinn,XXXXRT666,2024-02-20 22:45:49+08:00,2024-02-20 16:03:08+00:00
GPT_SoVITS/inference_webui.py,XXXXRT666,KamioRinn,2024-02-20 16:03:08+00:00,2024-02-21 01:14:09+08:00
GPT_SoVITS/inference_webui.py,KamioRinn,XXXXRT666,2024-02-21 01:14:09+08:00,2024-02-21 01:15:11+00:00
GPT_SoVITS/inference_webui.py,XXXXRT666,RVC-Boss,2024-02-21 01:15:11+00:00,2024-02-21 18:52:07+08:00
GPT_SoVITS/inference_webui.py,RVC-Boss,XXXXRT666,2024-02-21 18:52:07+08:00,2024-02-21 13:26:30+00:00
GPT_SoVITS/inference_webui.py,KamioRinn,DW,2024-03-04 00:13:28+08:00,2024-03-04 20:37:18+11:00
GPT_SoVITS/inference_webui.py,RVC-Boss,KamioRinn,2024-08-02 15:43:27+08:00,2024-08-03 11:19:52+08:00
GPT_SoVITS/inference_webui.py,KamioRinn,XXXXRT666,2024-08-03 11:19:52+08:00,2024-08-03 12:12:04+08:00
GPT_SoVITS/inference_webui.py,XXXXRT666,RVC-Boss,2024-08-03 12:12:04+08:00,2024-08-03 12:29:22+08:00
GPT_SoVITS/inference_webui.py,RVC-Boss,XXXXRT666,2024-08-03 12:29:22+08:00,2024-08-03 21:03:05+08:00
GPT_SoVITS/inference_webui.py,KamioRinn,XXXXRT666,2024-08-05 17:24:42+08:00,2024-08-06 12:00:51+08:00
GPT_SoVITS/inference_webui.py,XXXXRT666,KamioRinn,2024-08-06 12:00:51+08:00,2024-08-06 12:49:13+08:00
GPT_SoVITS/inference_webui.py,KamioRinn,XXXXRT666,2024-08-06 12:49:13+08:00,2024-08-06 18:37:55+08:00
GPT_SoVITS/inference_webui.py,XXXXRT666,RVC-Boss,2024-08-06 18:37:55+08:00,2024-08-07 11:28:30+08:00
GPT_SoVITS/inference_webui.py,RVC-Boss,XXXXRT666,2024-08-07 11:28:30+08:00,2024-08-07 14:54:49+08:00
GPT_SoVITS/inference_webui.py,RVC-Boss,Abyss-Seeker,2025-02-13 11:29:31+08:00,2025-02-13 23:12:43+08:00
GPT_SoVITS/inference_webui.py,Abyss-Seeker,RVC-Boss,2025-02-13 23:12:43+08:00,2025-02-13 23:17:27+08:00
