file,author1,author2,time1,time2
.all-contributorsrc,Brylie Christopher Oxley,allcontributors[bot],2019-05-18 11:41:40+03:00,2019-05-19 10:15:46+03:00
.all-contributorsrc,allcontributors[bot],Brylie Christopher Oxley,2021-09-04 08:52:32+00:00,2021-09-04 12:17:38+03:00
.all-contributorsrc,Brylie Christopher Oxley,allcontributors[bot],2021-09-04 12:17:38+03:00,2021-09-04 09:19:10+00:00
.env_sample,Brylie Christopher Oxley,Paul Scheid,2021-06-18 17:10:55+03:00,2021-06-18 10:56:11-04:00
.github/ISSUE_TEMPLATE/FORM.yml,Abhijith Ganesh,Brylie Christopher Oxley,2021-09-07 23:21:16+05:30,2021-09-08 09:07:36+03:00
.github/ISSUE_TEMPLATE/Feature.yml,Abhijith Ganesh,Brylie Christopher Oxley,2021-09-09 16:08:27+05:30,2021-09-10 10:35:48+03:00
.gitignore,Petar Petrov,Tomasz Kołek,2019-05-06 11:28:37+03:00,2019-05-06 11:39:51+03:00
.pep8speaks.yml,Tomasz Kołek,Brylie Christopher Oxley,2019-05-06 11:39:51+03:00,2019-05-06 12:05:05+03:00
.pre-commit-config.yaml,Ni3dzwi3dz,Brylie Christopher Oxley,2022-10-04 19:39:40+02:00,2022-10-04 21:30:24+03:00
CONTRIBUTING.md,Abhijith Ganesh,Görkem Arslan,2021-10-16 16:53:26+05:30,2021-10-16 14:32:14+03:00
CONTRIBUTING.md,Shivoy Dixit,Shivaay,2021-10-29 14:58:17+05:30,2021-10-29 15:03:34+05:30
CONTRIBUTING.md,Brylie Christopher Oxley,Haseeb Majid,2022-10-04 10:48:16+03:00,2022-10-04 19:32:13+01:00
CONTRIBUTING.md,Haseeb Majid,Brylie Christopher Oxley,2022-10-04 19:32:24+01:00,2022-10-04 21:32:49+03:00
CONTRIBUTING.md,Brylie Christopher Oxley,Mazen Ramadan,2022-10-04 21:38:41+03:00,2022-10-05 16:34:21+02:00
Procfile,Daniel Borstelmann,Darius Calliet,2016-07-12 23:28:47-05:00,2016-07-12 23:37:38-05:00
README.md,mdwest,Making GitHub Delicious,2017-08-28 10:07:58-07:00,2017-08-28 11:13:36-06:00
README.md,Making GitHub Delicious,mdwest,2017-08-28 11:13:36-06:00,2017-08-28 10:34:23-07:00
README.md,mdwest,Brylie Christopher Oxley,2017-08-28 10:34:23-07:00,2017-08-28 20:39:37+03:00
README.md,Brylie Christopher Oxley,Tomasz Kołek,2019-05-06 11:36:40+03:00,2019-05-06 11:39:51+03:00
README.md,Brylie Christopher Oxley,allcontributors[bot],2019-05-18 11:41:40+03:00,2019-05-19 10:15:46+03:00
README.md,Hush,allcontributors[bot],2019-10-16 18:52:02+03:00,2019-10-16 18:55:27+03:00
README.md,JDRanpariya,allcontributors[bot],2020-04-28 19:10:20+03:00,2020-04-28 19:11:39+03:00
README.md,allcontributors[bot],Brylie Christopher Oxley,2020-04-28 19:11:39+03:00,2020-04-28 19:12:39+03:00
README.md,Brylie Christopher Oxley,JDRanpariya,2020-04-28 19:12:39+03:00,2020-04-29 12:41:53+03:00
