file,author1,author2,time1,time2
.env.dev,wkyoshida,Andrew Tavis McAllister,2024-04-27 21:09:48-03:00,2024-04-28 19:03:58+02:00
.env.dev,Andrew Tavis McAllister,wkyoshida,2024-04-28 19:03:58+02:00,2024-04-28 21:17:08-03:00
.env.dev,wkyoshida,Andrew Tavis McAllister,2024-04-28 21:17:08-03:00,2024-04-29 23:32:24+02:00
.env.example,Vinny,tosta,2023-08-25 10:05:03-03:00,2023-08-26 14:05:10+02:00
.github/COC_CONTACT.md,YoSoyAlexElPine,Andrew Tavis McAllister,2024-11-26 16:28:06+01:00,2024-11-27 00:43:45+01:00
.github/ISSUE_TEMPLATE/bug_report.yml,YoSoyAlexElPine,Andrew Tavis McAllister,2024-11-26 16:28:06+01:00,2024-11-27 00:43:45+01:00
.github/ISSUE_TEMPLATE/design_improvement.yml,YoSoyAlexElPine,Andrew Tavis McAllister,2024-11-26 16:28:06+01:00,2024-11-27 00:43:45+01:00
.github/ISSUE_TEMPLATE/feature_request.yml,YoSoyAlexElPine,Andrew Tavis McAllister,2024-11-26 16:28:06+01:00,2024-11-27 00:43:45+01:00
.github/ISSUE_TEMPLATE/localization.yml,YoSoyAlexElPine,Andrew Tavis McAllister,2024-11-26 16:28:06+01:00,2024-11-27 00:43:45+01:00
.github/ISSUE_TEMPLATE/question.yml,YoSoyAlexElPine,Andrew Tavis McAllister,2024-11-26 16:28:06+01:00,2024-11-27 00:43:45+01:00
.github/PULL_REQUEST_TEMPLATE.md,YoSoyAlexElPine,Andrew Tavis McAllister,2024-11-26 16:28:06+01:00,2024-11-27 00:43:45+01:00
.github/workflows/check_dependency_updates.yaml,Abhi-Bohora,Andrew Tavis McAllister,2025-02-26 11:32:47+00:00,2025-02-26 22:46:24+01:00
.github/workflows/pr_ci_backend.yaml,Andrew Tavis McAllister,tosta,2023-10-31 09:17:19+01:00,2023-10-31 11:45:27+01:00
.github/workflows/pr_ci_backend.yaml,tosta,wkyoshida,2023-10-31 11:48:19+01:00,2023-10-31 21:37:42-03:00
.github/workflows/pr_ci_backend.yaml,Abhi-Bohora,Andrew Tavis McAllister,2025-02-03 19:30:37+05:45,2025-02-03 22:46:16+01:00
.github/workflows/pr_ci_backend.yaml,Andrew Tavis McAllister,tosta,2025-02-22 20:00:09+01:00,2025-02-23 18:00:34+01:00
.github/workflows/pr_ci_backend.yaml,Andrew Tavis McAllister,tosta,2025-02-26 20:51:45+01:00,2025-02-27 18:54:53+01:00
.github/workflows/pr_ci_backend.yaml,tosta,Andrew Tavis McAllister,2025-02-27 18:54:53+01:00,2025-02-27 23:21:56+01:00
.github/workflows/pr_ci_frontend.yaml,CaioCintra,Andrew Tavis McAllister,2023-10-15 17:03:21-03:00,2023-10-15 23:10:10+02:00
