file,author1,author2,time1,time2
.github/workflows/windows.yml,Rayyan Ansari,Thomas Waldmann,2023-01-13 17:02:41+00:00,2023-01-13 21:01:05+01:00
.travis.yml,Narendra Vardi,Marian Beermann,2017-06-18 20:20:19+05:30,2017-06-19 09:55:56+02:00
.travis.yml,pamaron,Thomas Waldmann,2020-10-04 15:38:05+02:00,2020-10-04 16:50:38+02:00
AUTHORS,anarcat,Antoine Beaupré,2020-10-06 09:40:12-04:00,2020-10-06 10:40:11-04:00
Brewfile,Stephen,Thomas Waldmann,2024-01-14 15:29:50+01:00,2024-01-14 17:49:21+01:00
README.rst,Jonas Borgström,Dan Christensen,2014-02-03 23:03:25+01:00,2014-02-03 21:48:22-05:00
README.rst,Per Guth,Thomas Waldmann,2015-07-27 14:45:32+02:00,2015-07-27 23:02:52+02:00
README.rst,Robin Schneider,Stefan Tatschner,2016-01-17 22:31:08+01:00,2016-01-18 16:30:27+01:00
README.rst,Nathan Musoke,Marian Beermann,2016-12-22 15:20:09+01:00,2016-12-22 15:21:42+01:00
README.rst,schuft69,Thomas Waldmann,2017-05-22 08:23:08+02:00,2017-05-22 18:22:09+02:00
SECURITY.md,jetchirag,Thomas Waldmann,2023-05-23 21:01:26+02:00,2023-05-23 21:02:51+02:00
Vagrantfile,Marian Beermann,Thomas Waldmann,2016-10-01 20:17:30+02:00,2016-10-02 00:43:45+02:00
Vagrantfile,Thomas Waldmann,ololoru,2016-10-31 02:36:49+01:00,2016-10-31 11:37:57-05:00
Vagrantfile,Thomas Waldmann,Hartmut Goebel,2017-06-24 01:24:14+02:00,2017-06-24 09:14:41+02:00
Vagrantfile,Thomas Waldmann,Rémi Oudin,2020-04-10 18:51:36+02:00,2020-04-11 14:21:32+02:00
Vagrantfile,pamaron,Thomas Waldmann,2020-10-04 15:38:05+02:00,2020-10-05 00:24:51+02:00
Vagrantfile,Björn Ketelaars,Thomas Waldmann,2024-11-23 23:01:44+01:00,2024-11-24 18:11:39+01:00
attic/archive.py,Thomas Waldmann,Dmitry Astapov,2015-03-17 23:47:21+01:00,2015-03-18 12:42:28+00:00
attic/archive.py,Thomas Waldmann,Jonas Borgström,2015-04-19 18:50:10+02:00,2015-04-19 22:42:52+02:00
attic/archive.py,Thomas Waldmann,Jonas Borgström,2015-04-21 20:50:19+02:00,2015-04-21 22:29:10+02:00
attic/archiver.py,Dan Christensen,Jonas Borgström,2014-02-03 20:11:47-05:00,2014-02-05 00:04:30+01:00
attic/archiver.py,Dan Christensen,Jonas Borgström,2014-02-08 15:37:27-05:00,2014-02-09 16:05:04+01:00
attic/archiver.py,Jonas Borgström,Dan Christensen,2014-02-09 20:35:00+01:00,2014-02-09 16:15:49-05:00
attic/archiver.py,Jonas Borgström,Dan Christensen,2014-02-19 22:53:44+01:00,2014-02-19 21:33:05-05:00
attic/archiver.py,Dan Christensen,Jonas Borgström,2014-02-24 19:46:56-05:00,2014-02-25 12:33:23+01:00
attic/archiver.py,Jeremy Maitin-Shepard,Jonas Borgström,2014-04-30 14:57:21-07:00,2014-05-01 14:56:21+02:00
attic/archiver.py,Thomas Waldmann,Jonas Borgström,2015-04-21 20:50:19+02:00,2015-04-21 22:29:10+02:00
attic/helpers.py,Dan Christensen,Jonas Borgström,2014-02-08 15:37:27-05:00,2014-02-09 20:35:00+01:00
attic/helpers.py,Jeremy Maitin-Shepard,Jonas Borgström,2014-04-30 14:57:21-07:00,2014-05-01 14:56:21+02:00
attic/testsuite/archiver.py,Jonas Borgström,Dan Christensen,2014-02-08 13:32:47+01:00,2014-02-08 12:44:48-05:00
attic/testsuite/archiver.py,Dan Christensen,Jonas Borgström,2014-02-08 12:44:48-05:00,2014-02-09 16:05:04+01:00
attic/testsuite/archiver.py,Jonas Borgström,Dan Christensen,2014-02-19 22:53:44+01:00,2014-02-19 21:33:05-05:00
borg/_chunker.c,Thomas Waldmann,Alan Jenkins,2015-08-20 05:33:51+02:00,2015-08-20 17:23:41+01:00
