file,author1,author2,time1,time2
.github/contributors.json,Bruno Alla,browniebroke,2020-08-10 18:06:50+01:00,2020-08-11 16:20:28+00:00
.github/contributors.json,browniebroke,Bruno Alla,2020-08-14 07:17:53+00:00,2020-08-14 08:24:34+01:00
.github/contributors.json,Bruno Alla,browniebroke,2020-08-14 08:24:34+01:00,2020-08-14 07:25:26+00:00
.github/contributors.json,luzfcb,browniebroke,2022-11-22 19:20:22+00:00,2022-11-22 19:59:59+00:00
.github/contributors.json,luzfcb,browniebroke,2023-01-25 12:51:16+00:00,2023-01-25 23:40:00+00:00
.github/contributors.json,Jelmer Draaijer,foarsitter,2023-06-13 21:13:32+02:00,2023-06-13 20:06:25+00:00
.github/contributors.json,foarsitter,browniebroke,2024-04-02 16:59:48+00:00,2024-04-03 13:49:59+00:00
.github/contributors.json,foarsitter,browniebroke,2024-09-07 23:45:21+00:00,2024-09-08 15:22:51+00:00
.github/workflows/align-versions.yml,Bruno Alla,dependabot[bot],2025-02-14 07:18:14+00:00,2025-02-14 07:58:21+00:00
.github/workflows/ci.yml,Bruno Alla,pyup.io bot,2023-02-08 17:51:29+00:00,2023-02-09 09:35:41+00:00
.github/workflows/ci.yml,Jelmer,Andrew Chen Wang,2023-04-15 11:42:33+01:00,2023-04-15 11:53:15+01:00
.github/workflows/ci.yml,Andrew Chen Wang,Bruno Alla,2023-04-15 11:53:15+01:00,2023-04-15 12:15:15+01:00
.github/workflows/django-issue-checker.yml,Jelmer Draaijer,jelmert,2024-10-05 17:45:50+02:00,2024-10-05 17:45:50+02:00
.github/workflows/pre-commit-autoupdate.yml,dependabot[bot],areski,2021-01-26 06:07:57+00:00,2021-01-26 16:13:27+01:00
.github/workflows/pre-commit-autoupdate.yml,dependabot[bot],Bruno Alla,2021-11-04 05:18:08+00:00,2021-11-04 14:55:32+00:00
.github/workflows/pre-commit-autoupdate.yml,Jelmer,Bruno Alla,2023-04-15 11:42:33+01:00,2023-04-15 12:15:15+01:00
.github/workflows/update-changelog.yml,Jelmer Draaijer,jelmert,2024-10-05 17:45:50+02:00,2024-10-05 17:45:50+02:00
.github/workflows/update-contributors.yml,Jelmer,dependabot[bot],2022-10-24 21:41:00+01:00,2022-10-24 21:45:46+01:00
.github/workflows/update-contributors.yml,Jelmer,Bruno Alla,2023-04-15 11:42:33+01:00,2023-04-15 12:15:15+01:00
.github/workflows/update-contributors.yml,Jelmer Draaijer,jelmert,2024-10-05 17:45:50+02:00,2024-10-05 17:45:50+02:00
.gitignore,Daniel Roy Greenfeld,Audrey Roy Greenfeld,2016-04-19 15:46:46-07:00,2016-04-20 11:41:17-07:00
.pre-commit-config.yaml,github-actions[bot],Bruno Alla,2022-07-10 12:02:35+01:00,2022-07-10 21:44:13+01:00
.pre-commit-config.yaml,Jelmer,Bruno Alla,2023-04-15 11:42:33+01:00,2023-04-15 12:15:15+01:00
