file,author1,author2,time1,time2
.github/workflows/build-and-push-image.yml,yuyulei,fatedier,2020-09-23 11:05:50+08:00,2020-09-23 14:20:46+08:00
.github/workflows/build-and-push-image.yml,蓝云Reyes,fatedier,2022-04-29 01:12:07+08:00,2022-04-29 01:15:42+08:00
.github/workflows/stale.yml,vesta,fatedier,2020-09-25 14:40:01+08:00,2020-09-25 15:00:41+08:00
Dockerfile,Manfred Touron,fatedier,2016-08-15 17:28:37+02:00,2016-08-16 15:06:48+08:00
README.md,Asher Oto,Kevin Crawley,2021-01-27 13:07:44+08:00,2021-01-27 13:14:16+08:00
README.md,0x7fff,fatedier,2023-12-14 20:32:40+08:00,2023-12-14 20:54:03+08:00
README.md,Apflkuacha,fatedier,2024-02-19 11:43:09+08:00,2024-02-19 16:28:27+08:00
README.md,Weltolk,fatedier,2024-04-29 11:50:56+08:00,2024-04-29 15:53:45+08:00
Release.md,Yurun,fatedier,2024-07-30 11:19:26+08:00,2024-07-30 18:12:22+08:00
assets/frps/static/index.html,YK-Samgo,fatedier,2021-03-19 17:31:16+08:00,2021-03-19 17:39:26+08:00
assets/frps/static/manifest.js,YK-Samgo,fatedier,2021-03-19 17:31:16+08:00,2021-03-19 17:39:26+08:00
assets/frps/static/vendor.js,YK-Samgo,fatedier,2021-03-19 17:31:16+08:00,2021-03-19 17:39:26+08:00
assets/frps/statik/statik.go,YK-Samgo,fatedier,2021-03-19 17:31:16+08:00,2021-03-19 17:39:26+08:00
assets/index.html,panhao,vashstorm,2016-08-09 21:17:02+08:00,2016-08-09 21:28:43+08:00
assets/index.html,vashstorm,fatedier,2016-08-09 21:28:43+08:00,2016-08-10 20:18:36+08:00
assets/index.html,fatedier,vashstorm,2016-08-10 20:18:36+08:00,2016-08-10 21:44:33+08:00
assets/index.html,vashstorm,Gogs,2016-08-10 21:44:33+08:00,2016-08-11 15:23:50+08:00
assets/index.html,Gogs,fatedier,2016-08-11 15:23:50+08:00,2016-08-11 15:31:35+08:00
client/admin_api.go,Aarni Koskela,fatedier,2023-11-16 15:42:49+08:00,2023-11-16 21:03:36+08:00
client/control.go,Blizard,fatedier,2021-10-19 14:57:26+08:00,2021-10-19 15:02:45+08:00
client/control.go,im_zhou,Remember,2023-12-21 20:51:10+08:00,2023-12-22 15:47:59+08:00
client/proxy/udp.go,Aarni Koskela,fatedier,2023-11-22 14:30:22+08:00,2023-11-22 14:35:37+08:00
client/service.go,Blizard,fatedier,2021-10-19 14:57:26+08:00,2021-10-19 15:02:45+08:00
client/service.go,Colin Adler,fatedier,2022-04-14 11:14:19+08:00,2022-04-14 11:24:36+08:00
client/service.go,Aarni Koskela,fatedier,2023-11-16 15:42:49+08:00,2023-11-16 21:03:36+08:00
client/service.go,im_zhou,fatedier,2023-12-21 20:51:10+08:00,2023-12-21 21:19:49+08:00
cmd/frpc/control.go,fatedier,Hurricanezwf,2016-02-03 18:46:24+08:00,2016-02-04 10:55:10+08:00
cmd/frpc/sub/admin.go,Aarni Koskela,fatedier,2023-11-16 15:42:49+08:00,2023-11-16 21:03:36+08:00
cmd/frpc/sub/nathole.go,Aarni Koskela,fatedier,2023-11-16 15:42:49+08:00,2023-11-16 21:03:36+08:00
cmd/frpc/sub/proxy.go,Aarni Koskela,fatedier,2023-11-16 15:42:49+08:00,2023-11-16 21:03:36+08:00
cmd/frpc/sub/root.go,Splash,fatedier,2021-03-22 11:30:12+08:00,2021-03-22 14:53:30+08:00
cmd/frpc/sub/root.go,Blizard,fatedier,2021-10-19 14:57:26+08:00,2021-10-19 15:02:45+08:00
cmd/frpc/sub/root.go,Aarni Koskela,fatedier,2023-11-16 15:42:49+08:00,2023-11-16 21:03:36+08:00
cmd/frpc/sub/verify.go,Aarni Koskela,fatedier,2023-11-16 15:42:49+08:00,2023-11-16 21:03:36+08:00
cmd/frps/root.go,hanshuai,fatedier,2018-05-02 20:40:33+08:00,2018-05-02 22:09:15+08:00
cmd/frps/root.go,itcode,fatedier,2018-08-08 10:52:08+08:00,2018-08-08 11:18:38+08:00
cmd/frps/root.go,Splash,fatedier,2021-03-22 11:30:12+08:00,2021-03-22 14:53:30+08:00
cmd/frps/root.go,Aarni Koskela,fatedier,2023-11-16 15:42:49+08:00,2023-11-16 21:03:36+08:00
cmd/frps/root.go,Aarni Koskela,fatedier,2023-11-22 14:30:22+08:00,2023-11-22 14:35:37+08:00
cmd/frps/verify.go,Aarni Koskela,fatedier,2023-11-16 15:42:49+08:00,2023-11-16 21:03:36+08:00
conf/frpc.ini,Hurricanezwf,fatedier,2016-02-29 12:38:45+08:00,2016-02-29 14:56:47+08:00
conf/frpc_full_example.toml,Kaive Young,fatedier,2024-03-20 14:58:03+08:00,2024-03-20 15:16:01+08:00
conf/frps.toml,fatedier,沈鸿飞,2023-10-10 16:48:13+08:00,2023-10-10 19:45:33+08:00
conf/frps_full.ini,Touch,fatedier,2018-05-06 04:08:36+08:00,2018-05-06 20:25:52+08:00
conf/frps_full.ini,itcode,fatedier,2018-08-08 10:52:08+08:00,2018-08-08 11:18:38+08:00
doc/ssh_tunnel_gateway.md,0x7fff,fatedier,2023-12-14 20:32:40+08:00,2023-12-14 20:54:03+08:00
dockerfiles/Dockerfile-for-frpc,yuyulei,fatedier,2020-09-23 11:05:50+08:00,2020-09-23 15:53:08+08:00
dockerfiles/Dockerfile-for-frpc,蓝云Reyes,fatedier,2022-04-29 01:12:07+08:00,2022-04-29 01:15:42+08:00
dockerfiles/Dockerfile-for-frps,yuyulei,fatedier,2020-09-23 11:05:50+08:00,2020-09-23 15:53:08+08:00
dockerfiles/Dockerfile-for-frps,蓝云Reyes,fatedier,2022-04-29 01:12:07+08:00,2022-04-29 01:15:42+08:00
go.mod,fatedier,0x7fff,2022-12-12 11:04:10+08:00,2022-12-12 15:10:38+08:00
go.mod,0x7fff,fatedier,2023-11-22 14:35:37+08:00,2023-11-22 14:35:37+08:00
go.mod,fatedier,gopherfarm,2024-04-10 12:05:22+08:00,2024-04-11 11:01:02+08:00
go.mod,gopherfarm,fatedier,2024-04-11 11:01:02+08:00,2024-04-11 20:19:08+08:00
go.mod,Wang Xiang,fatedier,2024-08-06 17:33:14+08:00,2024-08-07 11:18:17+08:00
go.sum,Tank,fatedier,2020-04-02 10:58:37+08:00,2020-04-02 11:49:16+08:00
go.sum,fatedier,0x7fff,2022-12-12 11:04:10+08:00,2022-12-12 15:10:38+08:00
go.sum,0x7fff,fatedier,2023-11-22 14:35:37+08:00,2023-11-22 14:35:37+08:00
go.sum,fatedier,gopherfarm,2024-04-10 12:05:22+08:00,2024-04-11 11:01:02+08:00
go.sum,gopherfarm,fatedier,2024-04-11 11:01:02+08:00,2024-04-11 20:19:08+08:00
go.sum,Wang Xiang,fatedier,2024-08-06 17:33:14+08:00,2024-08-07 11:18:17+08:00
models/config/client_common.go,yuyulei,fatedier,2020-09-18 19:58:58+08:00,2020-09-18 20:06:33+08:00
models/config/server_common.go,fatedier,yuyulei,2017-05-18 01:59:46+08:00,2017-05-18 23:58:46+08:00
models/config/server_common.go,itcode,fatedier,2018-08-08 10:52:08+08:00,2018-08-08 11:18:38+08:00
models/config/server_common.go,yuyulei,fatedier,2020-09-18 19:58:58+08:00,2020-09-18 20:06:33+08:00
pkg/config/load.go,Aarni Koskela,fatedier,2023-11-16 15:42:49+08:00,2023-11-16 21:03:36+08:00
pkg/config/load_test.go,Aarni Koskela,fatedier,2023-11-16 15:42:49+08:00,2023-11-16 21:03:36+08:00
pkg/config/v1/proxy.go,Kaive Young,fatedier,2024-03-20 14:58:03+08:00,2024-03-20 15:16:01+08:00
pkg/config/v1/server.go,Aarni Koskela,0x7fff,2023-11-22 14:30:22+08:00,2023-11-22 14:35:37+08:00
pkg/config/v1/server.go,0x7fff,fatedier,2023-11-22 14:35:37+08:00,2023-11-22 14:35:37+08:00
pkg/config/v1/ssh.go,0x7fff,fatedier,2023-11-22 14:35:37+08:00,2023-11-22 14:35:37+08:00
pkg/ssh/service.go,0x7fff,fatedier,2023-11-22 14:35:37+08:00,2023-11-22 14:35:37+08:00
pkg/ssh/vclient.go,0x7fff,fatedier,2023-11-22 14:35:37+08:00,2023-11-22 14:35:37+08:00
pkg/util/wait/backoff.go,Remember,im_zhou,2023-12-21 11:43:42+08:00,2023-12-21 20:51:10+08:00
pkg/util/wait/backoff.go,im_zhou,fatedier,2023-12-21 20:51:10+08:00,2023-12-21 21:19:49+08:00
server/controller/resource.go,Tank,fatedier,2020-05-24 11:28:57+08:00,2020-05-24 17:48:37+08:00
server/proxy/proxy.go,0x7fff,fatedier,2023-11-22 14:35:37+08:00,2023-11-22 14:35:37+08:00
server/service.go,Tank,Guy Lewin,2020-04-19 16:16:24+08:00,2020-04-20 13:35:47+08:00
