author,timestamp,file
Anton Osika,2023-04-29 14:52:33+02:00,README.md
Anton Osika,2023-04-29 16:20:58+02:00,chat_to_files.py
Anton Osika,2023-04-29 16:20:58+02:00,main.py
Anton Osika,2023-04-29 16:20:58+02:00,system
Anton Osika,2023-04-29 16:20:58+02:00,user
Anton Osika,2023-05-06 20:11:17+02:00,.gitignore
Anton Osika,2023-05-06 20:11:17+02:00,ai.py
Anton Osika,2023-05-06 20:11:17+02:00,chat_to_files.py
Anton Osika,2023-05-06 20:11:17+02:00,db.py
Anton Osika,2023-05-06 20:11:17+02:00,identity/clarify
Anton Osika,2023-05-06 20:11:17+02:00,identity/philosophy
Anton Osika,2023-05-06 20:11:17+02:00,identity/qa
Anton Osika,2023-05-06 20:11:17+02:00,identity/setup
Anton Osika,2023-05-06 20:11:17+02:00,main.py
Anton Osika,2023-05-06 20:11:17+02:00,steps.py
Anton Osika,2023-05-06 20:11:17+02:00,tests/__init__.py
Anton Osika,2023-05-06 20:11:17+02:00,tests/test_db.py
Anton Osika,2023-05-06 20:11:17+02:00,user
Anton Osika,2023-05-30 08:39:38+02:00,README.md
Anton Osika,2023-05-30 08:39:38+02:00,example/main_prompt
Anton Osika,2023-05-30 08:39:38+02:00,identity/clarify
Anton Osika,2023-05-30 08:39:38+02:00,identity/qa
Anton Osika,2023-05-30 08:39:38+02:00,identity/setup
Anton Osika,2023-05-30 08:39:38+02:00,identity/use_qa
Anton Osika,2023-05-30 08:39:38+02:00,main.py
Anton Osika,2023-05-30 08:39:38+02:00,requirements.txt
Anton Osika,2023-05-30 08:39:38+02:00,scripts/rerun_edited_message_logs.py
Anton Osika,2023-05-30 08:39:38+02:00,steps.py
Anton Osika,2023-06-03 23:19:32+02:00,.gitignore
Anton Osika,2023-06-03 23:19:32+02:00,README.md
Anton Osika,2023-06-03 23:19:32+02:00,TODO.md
Anton Osika,2023-06-03 23:19:32+02:00,ai.py
Anton Osika,2023-06-03 23:19:32+02:00,main.py
Anton Osika,2023-06-03 23:19:32+02:00,steps.py
Anton Osika,2023-06-04 00:15:35+02:00,steps.py
Anton Osika,2023-06-04 00:21:39+02:00,scripts/rerun_edited_message_logs.py
Anton Osika,2023-06-04 00:23:31+02:00,README.md
Anton Osika,2023-06-04 00:24:10+02:00,README.md
Anton Osika,2023-06-04 21:37:50+02:00,README.md
Anton Osika,2023-06-04 21:38:01+02:00,README.md
Anton Osika,2023-06-04 21:38:09+02:00,README.md
Anton Osika,2023-06-04 21:38:19+02:00,README.md
Anton Osika,2023-06-04 21:38:50+02:00,README.md
Anton Osika,2023-06-04 21:39:47+02:00,TODO.md
Anton Osika,2023-06-04 21:39:47+02:00,identity/setup
Anton Osika,2023-06-04 21:39:47+02:00,identity/use_qa
Anton Osika,2023-06-04 21:39:47+02:00,main.py
Anton Osika,2023-06-04 21:46:45+02:00,README.md
Anton Osika,2023-06-04 21:47:07+02:00,README.md
Anton Osika,2023-06-04 21:48:31+02:00,README.md
Anton Osika,2023-06-04 22:20:30+02:00,chat_to_files.py
Anton Osika,2023-06-04 22:20:30+02:00,steps.py
Anton Osika,2023-06-04 22:24:54+02:00,README.md
Anton Osika,2023-06-04 22:50:35+02:00,example/main_prompt
Anton Osika,2023-06-04 22:51:10+02:00,README.md
Anton Osika,2023-06-04 23:15:55+02:00,README.md
Anton Osika,2023-06-04 23:16:26+02:00,README.md
Anton Osika,2023-06-06 13:57:33+02:00,README.md
Anton Osika,2023-06-06 14:04:08+02:00,README.md
Anton Osika,2023-06-06 14:06:50+02:00,README.md
Anton Osika,2023-06-06 14:28:50+02:00,README.md
Anton Osika,2023-06-06 14:32:27+02:00,README.md
Anton Osika,2023-06-11 11:21:58+02:00,README.md
Anton Osika,2023-06-11 11:59:16+02:00,main.py
Anton Osika,2023-06-11 11:59:16+02:00,steps.py
Anton Osika,2023-06-11 18:39:06+02:00,LICENSE
Jack Lee,2023-06-14 16:54:46+08:00,db.py
Michael Rowan,2023-06-14 04:33:47-07:00,README.md
Anton Osika,2023-06-14 15:48:34+02:00,README.md
Anton Osika,2023-06-14 15:49:04+02:00,README.md
jnichols0,2023-06-15 01:10:42-04:00,ai.py
