file,author1,author2,time1,time2
.env.template,OriAshkenazi,Anton Osika,2023-08-13 11:09:32+02:00,2023-08-13 11:18:28+02:00
.env.template,Krish Dholakia,Anton Osika,2023-09-07 21:48:36+02:00,2023-09-07 22:05:25+02:00
.github/CONTRIBUTING.md,Axel Theorell,ATheorell,2023-12-25 19:19:13+01:00,2023-12-26 14:48:04+01:00
.github/ISSUE_TEMPLATE/ISSUE_TEMPLATE.md,aroramrinaal,Anton Osika,2023-06-19 13:28:49-07:00,2023-06-20 22:21:29+02:00
.github/ISSUE_TEMPLATE/sweep-bugfix.yml,sweep-ai[bot],Anton Osika,2023-08-16 21:55:52+02:00,2023-08-16 21:56:48+02:00
.github/ISSUE_TEMPLATE/sweep-feature.yml,sweep-ai[bot],Anton Osika,2023-08-16 21:55:52+02:00,2023-08-16 21:56:48+02:00
.github/ISSUE_TEMPLATE/sweep-refactor.yml,sweep-ai[bot],Anton Osika,2023-08-16 21:55:52+02:00,2023-08-16 21:56:48+02:00
.github/PULL_REQUEST_TEMPLATE/PULL_REQUEST_TEMPLATE.md,aroramrinaal,Anton Osika,2023-06-19 13:28:49-07:00,2023-06-20 22:21:29+02:00
.github/workflows/automation.yml,sweep-ai[bot],Anton Osika,2023-08-19 08:41:31+02:00,2023-08-19 08:45:54+02:00
.gitignore,Anton Osika,PatillaCode,2023-06-17 12:06:50+02:00,2023-06-17 16:39:22+02:00
.gitignore,PatillaCode,Philipp Kohler,2023-06-17 16:39:22+02:00,2023-06-17 17:53:03+02:00
.gitignore,Philipp Kohler,Anton Osika,2023-06-17 17:53:03+02:00,2023-06-17 21:18:07+02:00
.gitignore,Anton Osika,Enzo Martin,2023-06-17 21:18:07+02:00,2023-06-18 10:05:45+02:00
.gitignore,Enzo Martin,Carl Thomé,2023-06-18 10:05:45+02:00,2023-06-18 14:52:42+02:00
.gitignore,Romain d'Esparbès,Anton Osika,2023-06-20 11:50:48+02:00,2023-06-21 00:37:18+02:00
.gitignore,Artem Moskvin,Anton Osika,2023-07-02 15:14:33+02:00,2023-07-02 19:17:15+02:00
.gitignore,ma-raza,Anton Osika,2023-08-12 13:29:37+02:00,2023-08-13 10:32:44+02:00
.langchain.db,Anton Osika,Erik Bjäreholt,2023-11-30 19:37:55+01:00,2023-12-01 12:04:48+01:00
.pre-commit-config.yaml,Romain d'Esparbès,Patilla Code,2023-06-20 11:50:48+02:00,2023-06-20 11:56:57+02:00
.pre-commit-config.yaml,Artem Moskvin,Yaroslav Halchenko,2023-07-02 15:14:33+02:00,2023-07-02 16:47:31+02:00
.pre-commit-config.yaml,Yaroslav Halchenko,Patilla Code,2023-07-02 16:47:31+02:00,2023-07-02 19:14:05+02:00
.pre-commit-config.yaml,Patilla Code,Anton Osika,2023-07-02 19:14:05+02:00,2023-07-02 19:17:15+02:00
.readthedocs.yaml,ma-raza,Anton Osika,2023-08-12 13:29:37+02:00,2023-08-13 10:32:44+02:00
Makefile,Anton Osika,Patilla Code,2023-06-18 23:30:15+02:00,2023-06-19 15:01:34+02:00
Makefile,Plamen Ivanov,Shubham Attri,2023-07-02 15:22:06+02:00,2023-07-02 17:33:06+02:00
Makefile,OriAshkenazi,Anton Osika,2023-08-13 11:09:32+02:00,2023-08-13 11:12:40+02:00
Makefile,Erik Bjäreholt,captivus,2023-12-03 15:55:21+01:00,2023-12-03 14:39:43-06:00
README.md,Michael Rowan,Anton Osika,2023-06-14 04:33:47-07:00,2023-06-14 15:48:34+02:00
README.md,PatillaCode,Jack Eadie,2023-06-16 03:20:22+02:00,2023-06-16 13:25:29+02:00
README.md,Jack Eadie,Patilla Code,2023-06-16 13:25:29+02:00,2023-06-16 14:26:41+02:00
README.md,Patilla Code,Anton Osika,2023-06-16 14:26:41+02:00,2023-06-16 22:26:27+02:00
README.md,Anton Osika,Vicente Reyes,2023-06-17 13:40:17+02:00,2023-06-17 18:11:15+02:00
README.md,Vicente Reyes,Anton Osika,2023-06-17 18:11:15+02:00,2023-06-17 22:21:10+02:00
README.md,Anton Osika,Enzo Martin,2023-06-17 22:50:52+02:00,2023-06-18 10:05:45+02:00
README.md,Enzo Martin,PatillaCode,2023-06-18 10:05:45+02:00,2023-06-18 16:23:55+02:00
README.md,PatillaCode,Anton Osika,2023-06-18 16:30:51+02:00,2023-06-18 22:34:31+02:00
README.md,Anton Osika,Plamen Ivanov,2023-06-23 00:59:24+02:00,2023-06-23 12:01:29+02:00
README.md,Anton Osika,Sibo Van Gool,2023-06-24 17:53:04+02:00,2023-06-25 16:43:01+02:00
README.md,Sibo Van Gool,Anton Osika,2023-06-25 16:43:01+02:00,2023-06-25 20:33:58+02:00
README.md,Anton Osika,David Verzolla,2023-06-25 20:34:58+02:00,2023-06-25 21:00:07+02:00
README.md,David Verzolla,Anton Osika,2023-06-25 21:00:07+02:00,2023-06-26 19:55:43+02:00
README.md,Ashish,Shubham Attri,2023-07-02 17:28:17+02:00,2023-07-02 17:33:06+02:00
README.md,Shubham Attri,Patilla Code,2023-07-02 17:33:06+02:00,2023-07-02 19:14:05+02:00
README.md,Patilla Code,Anton Osika,2023-07-02 19:14:05+02:00,2023-07-02 19:17:15+02:00
README.md,Jesus Salomon,Ayoub Fletcher,2023-08-13 10:10:30+02:00,2023-08-13 10:30:49+02:00
README.md,Ayoub Fletcher,Anton Osika,2023-08-13 10:30:49+02:00,2023-08-13 11:05:36+02:00
README.md,Anton Osika,OriAshkenazi,2023-08-13 11:05:36+02:00,2023-08-13 11:09:32+02:00
README.md,umarmnaq,lukas,2023-09-22 19:26:33+05:00,2023-09-22 20:49:12+02:00
README.md,lukas,Anton Osika,2023-09-22 20:49:12+02:00,2023-09-22 22:32:36+02:00
README.md,Axel Theorell,saschalalala,2023-09-25 21:09:06+02:00,2023-09-25 21:34:40+02:00
README.md,saschalalala,ATheorell,2023-09-25 21:34:40+02:00,2023-09-26 19:53:33+02:00
README.md,Anton Osika,TheoMcCabe,2023-10-20 15:52:47-04:00,2023-10-20 21:07:06+01:00
README.md,captivus,rjsenanayaka,2023-12-03 14:24:03-06:00,2023-12-04 22:49:37+05:30
README.md,Eric Leijonmarck,Axel Theorell,2024-01-04 17:18:35+01:00,2024-01-05 13:34:48+01:00
ROADMAP.md,Anton Osika,Plamen Ivanov,2023-06-22 23:47:43+02:00,2023-06-23 12:01:29+02:00
WINDOWS_README.md,Anton Osika,Timothy Sturm,2023-08-13 10:09:31+02:00,2023-08-13 10:29:57+02:00
ai.py,jnichols0,PatillaCode,2023-06-15 01:10:42-04:00,2023-06-15 18:33:52+02:00
benchmark/RESULTS.md,Plamen Ivanov,Philipp Kohler,2023-06-23 12:01:29+02:00,2023-06-23 10:17:52+00:00
docker-compose.yml,Ayoub Fletcher,Anton Osika,2023-08-13 10:30:49+02:00,2023-08-13 10:32:44+02:00
docs/DOCS_BUILDING.md,ma-raza,Anton Osika,2023-08-12 13:29:37+02:00,2023-08-13 10:32:44+02:00
docs/DOCS_BUILDING.md,Erik Bjäreholt,kristiankyvik,2024-01-23 14:23:54+01:00,2024-01-23 16:23:42+02:00
docs/RESULTS.md,ma-raza,Anton Osika,2023-08-12 13:29:37+02:00,2023-08-13 09:41:03+02:00
docs/api_reference.rst,ma-raza,Anton Osika,2023-08-12 13:29:37+02:00,2023-08-13 10:32:44+02:00
docs/code_conduct_link.rst,ma-raza,Anton Osika,2023-08-12 13:29:37+02:00,2023-08-13 10:32:44+02:00
docs/conf.py,ma-raza,Anton Osika,2023-08-12 13:29:37+02:00,2023-08-13 10:32:44+02:00
docs/contributing_link.rst,ma-raza,Anton Osika,2023-08-12 13:29:37+02:00,2023-08-13 10:32:44+02:00
docs/create_api_rst.py,ma-raza,Anton Osika,2023-08-12 13:29:37+02:00,2023-08-13 10:32:44+02:00
docs/disclaimer_link.rst,ma-raza,Anton Osika,2023-08-12 13:29:37+02:00,2023-08-13 10:32:44+02:00
docs/index.rst,ma-raza,Anton Osika,2023-08-12 13:29:37+02:00,2023-08-13 09:41:03+02:00
docs/intro/# Table of Contents.md,ma-raza,Anton Osika,2023-08-12 13:29:37+02:00,2023-08-13 10:32:44+02:00
docs/intro/ai_class.md,ma-raza,Anton Osika,2023-08-12 13:29:37+02:00,2023-08-13 10:32:44+02:00
docs/intro/chat_parsing.md,ma-raza,Anton Osika,2023-08-12 13:29:37+02:00,2023-08-13 10:32:44+02:00
docs/intro/db_class.md,ma-raza,Anton Osika,2023-08-12 13:29:37+02:00,2023-08-13 10:32:44+02:00
docs/intro/harmony_db_ai_steps.md,ma-raza,Anton Osika,2023-08-12 13:29:37+02:00,2023-08-13 10:32:44+02:00
docs/intro/main_script.md,ma-raza,Anton Osika,2023-08-12 13:29:37+02:00,2023-08-13 10:32:44+02:00
docs/intro/preprompts.md,ma-raza,Anton Osika,2023-08-12 13:29:37+02:00,2023-08-13 10:32:44+02:00
docs/intro/quick_overview.md,ma-raza,Anton Osika,2023-08-12 13:29:37+02:00,2023-08-13 10:32:44+02:00
docs/intro/repository_stats.md,ma-raza,Anton Osika,2023-08-12 13:29:37+02:00,2023-08-13 09:34:55+02:00
docs/intro/scripts.md,ma-raza,Anton Osika,2023-08-12 13:29:37+02:00,2023-08-13 10:32:44+02:00
docs/intro/steps_module.md,ma-raza,Anton Osika,2023-08-12 13:29:37+02:00,2023-08-13 10:32:44+02:00
docs/readme_link.rst,ma-raza,Anton Osika,2023-08-12 13:29:37+02:00,2023-08-13 10:32:44+02:00
docs/requirements.txt,ma-raza,Anton Osika,2023-08-12 13:29:37+02:00,2023-08-13 10:32:44+02:00
