file,author1,author2,time1,time2
.github/ISSUE_TEMPLATE/01-bug-report.yml,low-batt,Yuze Jiang,2024-10-13 17:29:43-04:00,2024-10-14 10:03:08+09:00
.travis.yml,Cee,Collider LI,2019-01-18 12:09:56+08:00,2019-01-18 12:10:30+08:00
.travis.yml,Collider LI,Saagar Jha,2019-01-18 12:10:30+08:00,2019-01-17 23:13:26-08:00
CONTRIBUTING.md,Collider LI,alejx,2017-01-06 02:08:54+08:00,2017-01-06 17:06:00+08:00
CONTRIBUTING.md,alejx,Collider LI,2017-01-06 17:06:00+08:00,2017-01-06 21:49:15+08:00
CONTRIBUTING.md,Collider LI,Miigon,2017-01-07 00:55:15+08:00,2017-01-07 14:25:27+08:00
CONTRIBUTING.md,Saagar Jha,Collider LI,2017-01-08 15:25:43-08:00,2017-01-09 09:37:52+08:00
Podfile.lock,Chris Laprun,Collider LI,2017-01-28 17:28:14+01:00,2017-01-29 00:58:58+08:00
README.md,lhc70000,lhc,2016-12-19 15:22:06+08:00,2016-12-19 23:36:08+08:00
README.md,Collider LI,Miigon,2017-01-06 15:32:39+08:00,2017-01-07 14:25:27+08:00
README.md,Miigon,Xu Cheng,2017-01-07 14:25:27+08:00,2017-01-08 00:54:06+08:00
README.md,Saagar Jha,lhc,2017-01-08 15:25:43-08:00,2017-01-09 10:26:31+08:00
README.md,Yuze Jiang,0xflotus,2018-12-31 18:18:15+08:00,2019-01-01 15:49:27+08:00
browser/Chrome_Open_In_IINA/common.js,lusuee,Kelvin,2023-04-28 22:47:17-04:00,2023-04-28 23:04:56-04:00
browser/Chrome_Open_In_IINA/manifest.json,lusuee,Collider LI,2023-04-28 22:47:17-04:00,2023-04-28 23:07:05-04:00
crowdin.yml,iina-bot,Yuze Jiang,2023-07-12 16:39:29+09:00,2023-07-13 10:08:39+09:00
iina.xcodeproj/project.pbxproj,lhc,shilch,2017-01-07 01:03:14+08:00,2017-01-07 08:28:10+01:00
iina.xcodeproj/project.pbxproj,Miigon,lhc,2017-01-08 17:38:50+08:00,2017-01-08 18:49:22+08:00
iina.xcodeproj/project.pbxproj,lhc,Haruka,2017-01-08 18:49:22+08:00,2017-01-09 02:20:29+09:00
iina.xcodeproj/project.pbxproj,Haruka,Saagar Jha,2017-01-09 02:20:29+09:00,2017-01-08 15:25:43-08:00
iina.xcodeproj/project.pbxproj,Collider LI,Neeson.Z,2017-01-19 18:22:30+08:00,2017-01-20 15:55:59+08:00
iina.xcodeproj/project.pbxproj,shilch,darkbrow,2017-01-22 02:45:41+08:00,2017-01-23 00:46:58+09:00
iina.xcodeproj/project.pbxproj,Nicolas Allemand,Chris Laprun,2017-01-28 15:05:44+01:00,2017-01-28 17:07:26+01:00
iina.xcodeproj/project.pbxproj,Chris Laprun,Collider LI,2017-01-28 17:28:14+01:00,2017-01-29 01:13:30+08:00
iina.xcodeproj/project.pbxproj,Nicolas Allemand,Chris Laprun,2017-01-30 15:39:12+01:00,2017-01-30 15:39:12+01:00
iina.xcodeproj/project.pbxproj,Chris Laprun,Nicolas Allemand,2017-01-30 15:39:12+01:00,2017-01-30 19:20:18+01:00
iina.xcodeproj/project.pbxproj,Collider LI,Yuze Jiang,2017-02-01 23:38:30+08:00,2017-02-01 14:39:22-06:00
iina.xcodeproj/project.pbxproj,Yuze Jiang,Collider LI,2017-02-01 14:39:22-06:00,2017-02-03 01:25:44+08:00
iina.xcodeproj/project.pbxproj,Nicolas Allemand,darkbrow,2017-02-12 21:23:52+01:00,2017-02-13 08:14:14+09:00
iina.xcodeproj/project.pbxproj,darkbrow,cgand,2017-02-13 08:14:14+09:00,2017-02-13 17:56:39+01:00
iina.xcodeproj/project.pbxproj,cgand,LEO Yoon-Tsaw,2017-02-13 17:56:39+01:00,2017-02-14 21:00:23+08:00
iina.xcodeproj/project.pbxproj,Collider LI,darkbrow,2017-03-02 02:36:11+08:00,2017-03-02 07:20:53+09:00
iina.xcodeproj/project.pbxproj,cgand,Collider LI,2017-03-22 21:28:37+01:00,2017-03-23 17:33:36+08:00
iina.xcodeproj/project.pbxproj,Nicolas Allemand,Collider LI,2017-03-25 11:23:56+01:00,2017-03-26 17:56:35+08:00
iina.xcodeproj/project.pbxproj,Collider LI,LEOYoon-Tsaw,2017-04-05 02:59:40+08:00,2017-04-05 19:44:38+08:00
iina.xcodeproj/project.pbxproj,Yuze Jiang,Nicolas Allemand,2017-05-02 12:58:18-05:00,2017-05-02 22:04:53+02:00
iina.xcodeproj/project.pbxproj,Eugene F,LEOYoon-Tsaw,2017-05-13 15:21:09+03:00,2017-05-13 20:30:08+08:00
iina.xcodeproj/project.pbxproj,LEOYoon-Tsaw,Eugene F,2017-05-13 20:30:08+08:00,2017-05-13 18:46:00+03:00
iina.xcodeproj/project.pbxproj,Eugene F,Yuma Matsune,2017-05-19 15:29:49+03:00,2017-05-20 18:09:49+09:00
iina.xcodeproj/project.pbxproj,Collider LI,Eugene F,2017-05-28 19:06:20+08:00,2017-05-28 16:52:48+03:00
iina.xcodeproj/project.pbxproj,Eugene F,cgand,2017-05-28 16:52:48+03:00,2017-05-29 17:10:19+08:00
iina.xcodeproj/project.pbxproj,cgand,Yuze Jiang,2017-05-29 17:12:46+08:00,2017-05-30 08:42:59+08:00
iina.xcodeproj/project.pbxproj,Yuze Jiang,Collider LI,2017-05-30 08:42:59+08:00,2017-05-30 12:16:15+08:00
iina.xcodeproj/project.pbxproj,Inflation,Yuze Jiang,2017-05-31 17:32:32-07:00,2017-06-01 08:48:28+08:00
iina.xcodeproj/project.pbxproj,Yuze Jiang,Collider LI,2017-06-01 08:48:28+08:00,2017-06-01 15:32:30+08:00
iina.xcodeproj/project.pbxproj,darkbrow,Emin Hacıoğlu,2017-06-02 19:16:43+08:00,2017-06-02 20:05:19+08:00
iina.xcodeproj/project.pbxproj,Emin Hacıoğlu,Georg Stadler,2017-06-02 20:05:19+08:00,2017-06-02 22:06:16+08:00
iina.xcodeproj/project.pbxproj,Georg Stadler,Yuze Jiang,2017-06-02 22:06:16+08:00,2017-06-02 22:47:21+08:00
iina.xcodeproj/project.pbxproj,Saagar Jha,Collider LI,2017-07-06 20:47:25-07:00,2017-07-08 04:40:33+08:00
iina.xcodeproj/project.pbxproj,Ivan Kovnatsky,cgand,2017-07-11 17:35:20-07:00,2017-07-12 14:09:47+02:00
iina.xcodeproj/project.pbxproj,cgand,Nicolas Allemand,2017-07-12 14:09:47+02:00,2017-07-12 19:58:43+02:00
iina.xcodeproj/project.pbxproj,Nicolas Allemand,J-rg,2017-07-12 19:58:43+02:00,2017-07-13 12:11:45+02:00
iina.xcodeproj/project.pbxproj,darkbrow,Collider LI,2017-07-16 02:35:12+08:00,2017-07-16 23:18:41+08:00
iina.xcodeproj/project.pbxproj,Yuze Jiang,Collider LI,2017-09-07 13:44:12+08:00,2017-09-07 18:20:54+08:00
iina.xcodeproj/project.pbxproj,darkbrow,Yuze Jiang,2017-10-07 17:40:04-05:00,2017-10-07 18:00:38-05:00
iina.xcodeproj/project.pbxproj,Yuze Jiang,Nicolas Allemand,2017-10-07 18:24:24-05:00,2017-10-08 15:14:39-05:00
iina.xcodeproj/project.pbxproj,MikeVini13,Yuze Jiang,2017-11-07 18:26:55-08:00,2017-11-08 14:10:06-06:00
iina.xcodeproj/project.pbxproj,Collider LI,Thomas Kirk,2017-12-19 19:36:12+08:00,2017-12-19 17:34:51+01:00
iina.xcodeproj/project.pbxproj,Thomas Kirk,Collider LI,2017-12-19 17:34:51+01:00,2017-12-20 05:03:42+08:00
iina.xcodeproj/project.pbxproj,Yuze Jiang,Collider LI,2018-01-11 10:55:42-06:00,2018-01-12 02:35:19+08:00
iina.xcodeproj/project.pbxproj,Collider LI,Aikyuichi,2018-01-12 02:35:19+08:00,2018-01-11 21:18:07-06:00
iina.xcodeproj/project.pbxproj,Rafael Prado,Collider LI,2018-01-30 22:23:58+08:00,2018-01-30 22:39:57+08:00
iina.xcodeproj/project.pbxproj,darkbrow,Nicolas Allemand,2018-03-18 18:57:38+08:00,2018-03-18 21:00:33+08:00
iina.xcodeproj/project.pbxproj,Nicolas Allemand,Aikyuichi,2018-03-18 21:00:33+08:00,2018-03-19 12:18:25+08:00
iina.xcodeproj/project.pbxproj,Aikyuichi,Paweł Golonko,2018-03-19 12:18:25+08:00,2018-03-19 13:35:23+08:00
iina.xcodeproj/project.pbxproj,Paweł Golonko,Yuma Matsune,2018-03-19 13:35:23+08:00,2018-03-20 02:04:07+08:00
iina.xcodeproj/project.pbxproj,bugra1410,Yuze Jiang,2018-04-16 21:52:17+02:00,2018-04-16 23:08:43-05:00
iina.xcodeproj/project.pbxproj,Yuze Jiang,Collider LI,2018-04-16 23:08:43-05:00,2018-04-17 18:06:23+08:00
iina.xcodeproj/project.pbxproj,Collider LI,Yuze Jiang,2018-04-17 18:06:23+08:00,2018-04-17 21:00:28-05:00
iina.xcodeproj/project.pbxproj,Yuze Jiang,Jinbong,2018-04-17 21:00:28-05:00,2018-04-19 06:17:34+09:00
iina.xcodeproj/project.pbxproj,Yuze Jiang,Collider LI,2018-07-17 00:41:11+08:00,2018-07-17 13:40:52+08:00
iina.xcodeproj/project.pbxproj,Collider LI,Nicolas Allemand,2018-07-19 12:31:11+08:00,2018-07-19 17:12:51+08:00
iina.xcodeproj/project.pbxproj,Nicolas Allemand,Jinbong,2018-07-19 17:12:51+08:00,2018-07-20 07:39:26+09:00
iina.xcodeproj/project.pbxproj,Saagar Jha,cgand,2018-07-30 23:37:48+08:00,2018-07-31 12:24:18+08:00
iina.xcodeproj/project.pbxproj,Collider LI,Yuze Jiang,2018-09-01 18:14:47+08:00,2018-09-01 19:45:03+08:00
iina.xcodeproj/project.pbxproj,Yuze Jiang,cgand,2018-09-04 19:17:08-05:00,2018-09-05 12:06:25-05:00
iina.xcodeproj/project.pbxproj,cgand,Marvin,2018-09-05 12:06:25-05:00,2018-09-05 12:10:33-05:00
iina.xcodeproj/project.pbxproj,J-rg,Yuze Jiang,2018-09-07 13:20:27-05:00,2018-09-07 13:45:11-05:00
iina.xcodeproj/project.pbxproj,Nicolas Allemand,Collider LI,2018-09-10 00:22:20+08:00,2018-09-10 00:22:40+08:00
iina.xcodeproj/project.pbxproj,Collider LI,Yuma Matsune,2018-11-02 15:39:17-05:00,2018-11-03 12:31:08+09:00
iina.xcodeproj/project.pbxproj,Collider LI,Erik Minekus,2018-11-04 20:18:14+08:00,2018-11-04 18:31:11+01:00
iina.xcodeproj/project.pbxproj,Erik Minekus,cgand,2018-11-04 18:31:11+01:00,2018-11-05 18:14:55+01:00
iina.xcodeproj/project.pbxproj,cgand,Aikyuichi,2018-11-05 18:14:55+01:00,2018-11-05 18:36:55-05:00
iina.xcodeproj/project.pbxproj,Collider LI,Yuze Jiang,2018-12-02 01:55:17+08:00,2018-12-01 17:26:18-06:00
iina.xcodeproj/project.pbxproj,Ailton Vieira Pinto Filho,Kautilya Save,2019-01-30 19:54:41-06:00,2019-01-31 09:43:09-06:00
iina.xcodeproj/project.pbxproj,Wowbagger & his liquid lunch,Yuze Jiang,2021-03-19 17:30:33+08:00,2021-03-19 18:10:01+08:00
iina.xcodeproj/project.pbxproj,Collider LI,Yuze Jiang,2022-09-17 01:02:59-04:00,2022-09-17 01:03:00-04:00
iina.xcodeproj/project.pbxproj,Yuze Jiang,Collider LI,2022-09-17 01:03:00-04:00,2022-09-17 01:03:00-04:00
iina.xcodeproj/project.pbxproj,Collider LI,low-batt,2022-11-06 19:33:55-08:00,2022-11-08 09:10:06+09:00
iina.xcodeproj/project.pbxproj,low-batt,Saagar Jha,2022-11-08 09:10:06+09:00,2022-11-08 13:04:31+09:00
iina.xcodeproj/project.pbxproj,Yuze Jiang,low-batt,2022-11-09 14:22:18-08:00,2022-11-10 10:10:17+09:00
iina.xcodeproj/project.pbxproj,low-batt,Yuze Jiang,2023-04-03 15:06:16+08:00,2023-04-04 11:25:08+08:00
iina.xcodeproj/project.pbxproj,Shlomo,Yuze Jiang,2024-05-25 09:47:26+09:00,2024-05-25 09:47:26+09:00
iina.xcodeproj/project.pbxproj,Yuze Jiang,low-batt,2024-06-10 10:43:56+09:00,2024-06-10 21:10:54-04:00
iina.xcodeproj/project.pbxproj,Yuze Jiang,low-batt,2024-06-20 19:36:11-04:00,2024-06-20 19:36:11-04:00
iina/AboutWindowController.swift,Collider LI,Saagar Jha,2017-03-02 02:36:11+08:00,2017-03-01 15:16:28-08:00
iina/AboutWindowController.swift,Collider LI,Yuze Jiang,2018-11-04 21:47:47+08:00,2018-11-04 20:46:26-06:00
