file,author1,author2,time1,time2
.github/PULL_REQUEST_TEMPLATE.md,Rémy HUBSCHER,Mathieu Leplatre,2016-07-20 09:11:27+02:00,2016-07-20 10:27:17+02:00
.github/PULL_REQUEST_TEMPLATE.md,Mathieu Leplatre,Rémy HUBSCHER,2016-07-20 10:27:17+02:00,2016-07-20 11:36:49+02:00
.github/workflows/publish.yml,dependabot[bot],Mathieu Leplatre,2024-01-09 17:03:15+01:00,2024-01-09 17:04:17+01:00
.github/workflows/scheduled.yml,grahamalama,Mathieu Leplatre,2025-02-11 10:43:14+01:00,2025-02-12 09:07:35+01:00
.gitignore,Mathieu Leplatre,Rémy HUBSCHER,2015-01-14 10:01:12+01:00,2015-01-14 12:14:10+01:00
.isort.cfg,Rémy HUBSCHER,Mathieu Leplatre,2019-10-17 17:13:52+02:00,2019-10-18 11:58:57+02:00
.therapist.yml,Pascal,Mathieu Leplatre,2018-10-18 07:34:39+02:00,2018-10-18 14:46:39+02:00
.therapist.yml,Rémy HUBSCHER,Mathieu Leplatre,2019-10-17 17:13:52+02:00,2019-10-18 11:58:57+02:00
.travis.yml,Alexis Metaireau,Mathieu Leplatre,2015-01-19 15:35:41+01:00,2015-01-20 15:02:48+01:00
.travis.yml,Mathieu Leplatre,Alexis Métaireau,2015-02-24 09:16:56+01:00,2015-02-24 15:30:35+01:00
.travis.yml,Alexis Métaireau,Mathieu Leplatre,2015-03-18 00:32:31+01:00,2015-03-18 00:32:31+01:00
.travis.yml,Rémy HUBSCHER,Mathieu Leplatre,2017-02-02 13:42:41+01:00,2017-02-02 16:19:37+01:00
.travis.yml,Mathieu Leplatre,Rémy HUBSCHER,2017-02-02 16:19:37+01:00,2017-02-03 10:59:16+01:00
CHANGELOG,Rémy HUBSCHER,Mathieu Leplatre,2015-02-09 14:38:41+01:00,2015-02-09 16:54:50+01:00
CHANGELOG,Mathieu Leplatre,Rémy HUBSCHER,2015-02-09 16:54:50+01:00,2015-02-09 17:08:26+01:00
