file,author1,author2,time1,time2
FAQ.md,sekyondaMeta,Joseph Spisak,2023-09-08 14:20:50-04:00,2023-09-08 14:32:35-07:00
FAQ.md,sekyondaMeta,Joseph Spisak,2023-10-11 15:08:34-04:00,2023-10-11 12:17:35-07:00
README.md,timlacroix,Guillaume Lample,2023-03-02 09:33:11+01:00,2023-03-02 10:52:40+01:00
README.md,Ubuntu,Daryl,2023-07-18 16:13:17+00:00,2023-07-18 22:06:10+02:00
README.md,Daryl,Chris Marra,2023-07-18 22:06:10+02:00,2023-07-18 18:54:19-04:00
README.md,Suliman Sagindykov,Daniel Lo Nigro,2023-07-21 16:57:24+05:00,2023-07-21 14:05:46-07:00
README.md,Daniel Lo Nigro,Ikko Eltociear Ashimine,2023-07-21 14:05:46-07:00,2023-07-22 14:47:52+09:00
README.md,Joseph Spisak,JacobHelwig,2023-11-01 20:44:47-07:00,2023-11-02 12:47:01-05:00
download.sh,Ubuntu,Jan Van de Poel,2023-07-18 15:57:25+00:00,2023-07-18 22:23:06+02:00
download.sh,godpeny,Daniel Engbert,2023-09-01 10:30:11+09:00,2023-09-01 11:41:43-05:00
example_chat_completion.py,Ubuntu,tomorrmato,2023-07-18 15:57:25+00:00,2023-07-18 23:14:58-07:00
example_text_completion.py,Ubuntu,tomorrmato,2023-07-18 15:57:25+00:00,2023-07-18 23:14:58-07:00
llama/__init__.py,Ubuntu,tomorrmato,2023-07-18 15:57:25+00:00,2023-07-18 23:14:58-07:00
llama/generation.py,Ubuntu,tianwei,2023-07-18 15:57:25+00:00,2023-07-19 18:12:02+08:00
llama/generation.py,tianwei,Ubuntu,2023-07-19 18:12:02+08:00,2023-07-19 13:11:07+00:00
llama/model.py,Ubuntu,Sergii Dymchenko,2023-07-18 15:57:25+00:00,2023-07-18 11:54:55-07:00
llama/model.py,Jared,Jared Levi De La Fuente Rodriguez,2023-09-02 16:23:17-06:00,2023-09-03 10:14:42-06:00
llama/model.py,Alex,flu0r1ne,2023-11-13 13:41:06-06:00,2023-11-13 14:05:24-06:00
