file,author1,author2,time1,time2
.github/ISSUE_TEMPLATE/bug_report.yaml,Stark,Tien Do Nam,2023-02-06 13:51:10+08:00,2023-02-06 21:15:05+01:00
.github/ISSUE_TEMPLATE/feature_request.yaml,Stark,Tien Do Nam,2023-02-06 13:53:24+08:00,2023-02-06 21:15:05+01:00
.github/workflows/release.yml,Tien Do Nam,dependabot[bot],2023-12-04 20:15:42+01:00,2023-12-05 02:54:42+01:00
.github/workflows/release.yml,Tien Do Nam,dependabot[bot],2024-01-07 16:01:46+01:00,2024-01-07 16:04:08+01:00
.gitignore,watchakorn-18k,Tien Do Nam,2023-11-22 21:49:57+01:00,2023-11-22 21:56:38+01:00
CONTRIBUTING.md,Tien Do Nam,Gabriel Lima,2023-03-25 16:04:27+01:00,2023-03-26 00:51:07+01:00
CONTRIBUTING.md,Tien Do Nam,Jesse205,2023-10-17 23:16:46+02:00,2023-10-18 15:00:15+02:00
CONTRIBUTING.md,Francesco Marastoni,Andrew,2023-10-22 13:57:39+02:00,2023-10-23 13:25:32+02:00
README.md,Fáng,Tien Do Nam,2023-03-06 23:35:27+08:00,2023-03-07 03:37:58+01:00
README.md,Tien Do Nam,septs,2023-04-06 01:38:19+02:00,2023-04-06 11:38:12+02:00
README.md,Tien Do Nam,Kushal Agrawal,2023-10-25 01:00:04+02:00,2023-10-25 13:54:11+02:00
README.md,半颗白菜,Francesco Marastoni,2023-12-01 18:26:52+01:00,2023-12-02 12:05:32+01:00
README.md,Gavin Dang,Manuel Santos Souza,2024-09-28 12:10:24+02:00,2024-09-28 22:56:48+02:00
README.md,Dario Landucci,Tien Do Nam,2024-10-05 17:26:33+02:00,2024-10-06 14:36:51+02:00
README.md,Tien Do Nam,Manuel Santos Souza,2024-10-06 14:36:51+02:00,2024-10-06 16:54:21+02:00
README.md,Manuel Santos Souza,ScupidC0des,2024-10-06 16:54:21+02:00,2024-10-07 16:47:09+02:00
README.md,Chandara H. Wei,Vic,2024-10-27 22:51:21+01:00,2024-10-28 19:30:20+01:00
README.md,Mohammad Jamalianpour,Tien Do Nam,2024-11-03 16:44:25+01:00,2024-11-04 14:45:32+01:00
README.md,Tien Do Nam,Ali Mert,2024-11-04 15:28:33+01:00,2024-11-04 23:53:26+01:00
README_ZH.md,linsui,形素叢集・ぐらふぃーむ,2024-02-28 12:50:16+01:00,2024-02-28 12:50:41+01:00
android/app/src/main/res/drawable/banner.png,Tien Do Nam,Justin Bailey,2023-02-16 02:21:48+01:00,2023-02-16 11:00:46-05:00
app/assets/CHANGELOG.md,Chandara H. Wei,Tien Do Nam,2023-12-07 13:36:57+01:00,2023-12-08 02:43:15+01:00
app/assets/i18n/_missing_translations_ar.json,jermanuts,Tien Do Nam,2024-06-25 12:53:08+02:00,2024-06-25 13:07:48+02:00
