file,author1,author2,time1,time2
.DS_Store,Muennighoff,Niklas Muennighoff,2025-02-10 14:43:39-08:00,2025-02-10 18:00:22-08:00
README.md,Niklas Muennighoff,Muennighoff,2025-01-31 18:38:16-08:00,2025-01-31 20:48:46-08:00
README.md,Muennighoff,swj0419,2025-02-02 19:35:27-08:00,2025-02-03 09:31:55+00:00
README.md,swj0419,Mattias Rost,2025-02-03 09:31:55+00:00,2025-02-03 15:48:58+01:00
README.md,Mattias Rost,Muennighoff,2025-02-03 15:48:58+01:00,2025-02-03 08:05:30-08:00
README.md,Muennighoff,Niklas Muennighoff,2025-02-03 08:05:30-08:00,2025-02-03 10:41:30-08:00
README.md,Niklas Muennighoff,Ikko Eltociear Ashimine,2025-02-03 17:18:44-08:00,2025-02-04 16:37:41+09:00
README.md,Ikko Eltociear Ashimine,Nitin Bansal,2025-02-04 16:37:41+09:00,2025-02-04 21:07:52+05:30
README.md,BigsnarfDude,Niklas Muennighoff,2025-02-05 10:00:11-07:00,2025-02-05 17:39:21-08:00
README.md,Niklas Muennighoff,invictus717,2025-02-07 07:40:39-08:00,2025-02-08 11:24:04+08:00
README.md,invictus717,Yiyuan Zhang,2025-02-08 14:18:34+08:00,2025-02-08 23:12:17+08:00
README.md,Niklas Muennighoff,Henry,2025-02-09 17:19:19-08:00,2025-02-10 13:32:01+08:00
README.md,Henry,Niklas Muennighoff,2025-02-10 13:32:01+08:00,2025-02-10 09:41:35-08:00
README.md,Niklas Muennighoff,Muennighoff,2025-02-10 09:41:35-08:00,2025-02-10 14:43:39-08:00
README.md,Muennighoff,Niklas Muennighoff,2025-02-10 21:55:31-08:00,2025-02-10 22:23:22-08:00
data/collect_data.py,Niklas Muennighoff,Daqi Pei,2025-02-10 22:16:44-08:00,2025-02-11 17:21:45-07:00
data/utils/string_utils.py,swj0419,Niklas Muennighoff,2025-02-19 19:41:22+00:00,2025-02-19 18:42:32-08:00
eval/commands.sh,Muennighoff,Niklas Muennighoff,2025-02-10 21:55:31-08:00,2025-02-11 05:37:43-08:00
train/sft.py,ZitongYang,Niklas Muennighoff,2025-02-04 17:48:41-08:00,2025-02-05 17:40:16-08:00
train/sft.sh,invictus717,Yiyuan Zhang,2025-02-08 12:24:10+08:00,2025-02-08 12:39:41+08:00
train/sft.sh,Yiyuan Zhang,invictus717,2025-02-08 12:39:41+08:00,2025-02-08 13:41:28+08:00
train/sft.sh,invictus717,Yiyuan Zhang,2025-02-08 13:41:28+08:00,2025-02-08 14:02:52+08:00
train/sft.sh,Yiyuan Zhang,invictus717,2025-02-08 14:03:31+08:00,2025-02-08 14:18:34+08:00
train/sft.sh,invictus717,Niklas Muennighoff,2025-02-08 14:18:34+08:00,2025-02-08 09:54:56-08:00
